Sample ID,MYTH score
697,0.124057606
5637,0.059844893
201T,0.065769963
22RV1,0.089798542
23132-87,0.1016334
42-MG-BA,0.070083781
451LU,0.068973046
639-V,0.053226594
647-V,0.067353608
769-P,0.056798339
786-0,0.077133165
8305C,0.070299739
8505C,0.078694752
8-MG-BA,0.083924986
A101D,0.093290966
A172,0.075128357
A204,0.064793079
A2058,0.087676613
A253,0.083246035
A2780,0.080592603
A375,0.074572794
A388,0.076513303
A3-KAW,0.157618398
A427,0.075746495
A431,0.067209424
A498,0.074824708
A4-FUK,0.137779685
A549,0.049711692
A673,0.062774864
A704,0.065783451
ABC-1,0.085985732
ACHN,0.089244951
ACN,0.077544915
AGS,0.105990935
ALL-PO,0.113833781
ALL-SIL,0.133185979
AM-38,0.101931975
AMO-1,0.090674034
AN3-CA,0.078550041
ARH-77,0.073897957
ASH-3,0.082403102
ASPC-1,0.081585095
ATN-1,0.151412865
AU565,0.129760899
BALL-1,0.111283398
BB30-HNC,0.066430085
BB49-HNC,0.06406729
BB65-RCC,0.070670231
BC-1,0.109068561
BC-3,0.145416946
BCPAP,0.072787591
BE-13,0.113018184
BE2-M17,0.083633227
BECKER,0.069602639
BEN,0.095145471
BFTC-905,0.056641844
BFTC-909,0.063898241
BHT-101,0.080641242
BHY,0.070989051
BICR10,0.060699231
BICR22,0.08104825
BICR31,0.05751275
BICR78,0.105896957
BL-41,0.110155378
BOKU,0.06199956
BONNA-12,0.12710619
BPH-1,0.066723685
BT-20,0.090896224
BT-474,0.067174011
BT-483,0.076460601
BT-549,0.060995354
BV-173,0.134182441
BXPC-3,0.08237829
C2BBE1,0.063530332
C32,0.070119408
C-33-A,0.071546194
C3A,0.110073691
C-4-I,0.059541589
C8166,0.101536862
CA46,0.121511271
CA9-22,0.085928034
CADO-ES1,0.066403676
CAKI-1,0.048777008
CAL-120,0.049086542
CAL-12T,0.062162395
CAL-148,0.077298461
CAL-27,0.068219287
CAL-29,0.053754415
CAL-33,0.067043291
CAL-39,0.062251328
CAL-51,0.071911609
CAL-54,0.057583787
CAL-62,0.060825635
CAL-72,0.065986505
CAL-78,0.086082728
CAL-85-1,0.10010179
CALU-3,0.063303918
CALU-6,0.056352474
CAMA-1,0.075157686
CAOV-3,0.074026775
CAOV-4,0.079274812
CAPAN-1,0.059827397
CAPAN-2,0.046058674
CAR-1,0.051159915
CAS-1,0.067073052
CA-SKI,0.078214249
CCF-STTG1,0.06099452
CCK-81,0.07344884
CCRF-CEM,0.089761676
CESS,0.10435461
CFPAC-1,0.047211748
CGTH-W-1,0.057446069
CHAGO-K-1,0.06303929
CHL-1,0.080530128
CHP-126,0.098254631
CHP-134,0.101785775
CHP-212,0.071622333
CHSA8926,0.089734412
CL-11,0.082817983
CL-40,0.102590971
CML-T1,0.094768073
COLO-205,0.093293364
COLO-320,0.08237894
COLO-320-HSR,0.086123745
COLO-668,0.072279379
COLO-678,0.082708315
COLO-679,0.073815405
COLO-680N,0.060273481
COLO-684,0.081646725
COLO-741,0.072628591
COLO-792,0.079996472
