Sample ID,MYTH score
TCGA-OR-A5J1-01,0.047577852
TCGA-OR-A5J2-01,0.095427603
TCGA-OR-A5J3-01,0.066632483
TCGA-OR-A5J4-01,0.051880777
TCGA-OR-A5J5-01,0.049331733
TCGA-OR-A5J6-01,0.049590454
TCGA-OR-A5J7-01,0.068924485
TCGA-OR-A5J8-01,0.065379717
TCGA-OR-A5J9-01,0.062630671
TCGA-OR-A5JA-01,0.043375219
TCGA-OR-A5JB-01,0.070096572
TCGA-OR-A5JC-01,0.028622006
TCGA-OR-A5JD-01,0.03909217
TCGA-OR-A5JE-01,0.050599256
TCGA-OR-A5JF-01,0.033878001
TCGA-OR-A5JG-01,0.069562706
TCGA-OR-A5JI-01,0.027293446
TCGA-OR-A5JJ-01,0.045148187
TCGA-OR-A5JK-01,0.037065732
TCGA-OR-A5JL-01,0.038532461
TCGA-OR-A5JM-01,0.061655241
TCGA-OR-A5JO-01,0.04270345
TCGA-OR-A5JP-01,0.051253667
TCGA-OR-A5JQ-01,0.025959749
TCGA-OR-A5JR-01,0.036395372
TCGA-OR-A5JS-01,0.051710325
TCGA-OR-A5JT-01,0.052380234
TCGA-OR-A5JV-01,0.030790658
TCGA-OR-A5JW-01,0.046022609
TCGA-OR-A5JX-01,0.043945103
TCGA-OR-A5JY-01,0.0663754
TCGA-OR-A5JZ-01,0.063259304
TCGA-OR-A5K0-01,0.110906548
TCGA-OR-A5K1-01,0.053137922
TCGA-OR-A5K2-01,0.056115605
TCGA-OR-A5K3-01,0.047454402
TCGA-OR-A5K4-01,0.075776776
TCGA-OR-A5K5-01,0.064471349
TCGA-OR-A5K6-01,0.040701527
TCGA-OR-A5K8-01,0.051681805
TCGA-OR-A5K9-01,0.0645501
TCGA-OR-A5KO-01,0.04119376
TCGA-OR-A5KT-01,0.027719575
TCGA-OR-A5KU-01,0.036948911
TCGA-OR-A5KV-01,0.049716426
TCGA-OR-A5KW-01,0.065729209
TCGA-OR-A5KX-01,0.067716189
TCGA-OR-A5KY-01,0.041895224
TCGA-OR-A5KZ-01,0.048599511
TCGA-OR-A5L3-01,0.035638192
TCGA-OR-A5L4-01,0.045123834
TCGA-OR-A5L5-01,0.023560814
TCGA-OR-A5L6-01,0.041704497
TCGA-OR-A5L8-01,0.038013363
TCGA-OR-A5L9-01,0.034642777
TCGA-OR-A5LA-01,0.034233896
TCGA-OR-A5LB-01,0.057996511
TCGA-OR-A5LC-01,0.055348142
TCGA-OR-A5LD-01,0.089753095
TCGA-OR-A5LE-01,0.066055953
TCGA-OR-A5LG-01,0.052006512
TCGA-OR-A5LH-01,0.032106862
TCGA-OR-A5LJ-01,0.040123669
TCGA-OR-A5LK-01,0.035287228
TCGA-OR-A5LL-01,0.03744273
TCGA-OR-A5LM-01,0.039300591
TCGA-OR-A5LN-01,0.030888434
TCGA-OR-A5LO-01,0.075760039
TCGA-OR-A5LP-01,0.036685808
TCGA-OR-A5LR-01,0.04080049
TCGA-OR-A5LS-01,0.046743091
TCGA-OR-A5LT-01,0.072779974
TCGA-OU-A5PI-01,0.049047681
TCGA-P6-A5OF-01,0.036280873
TCGA-P6-A5OG-01,0.056371087
TCGA-PA-A5YG-01,0.035997329
TCGA-PK-A5H8-01,0.045003865
TCGA-PK-A5H9-01,0.050526588
TCGA-PK-A5HA-01,0.071201198
TCGA-PK-A5HB-01,0.080899234
