Sample ID,MYTH score
TCGA-2F-A9KO-01,0.016042051
TCGA-2F-A9KP-01,0.028017827
TCGA-2F-A9KQ-01,0.060207038
TCGA-2F-A9KR-01,0.040491302
TCGA-2F-A9KT-01,0.020976923
TCGA-2F-A9KW-01,0.035404292
TCGA-4Z-AA7M-01,0.030519909
TCGA-4Z-AA7N-01,0.028434019
TCGA-4Z-AA7O-01,0.039077678
TCGA-4Z-AA7Q-01,0.022397543
TCGA-4Z-AA7R-01,0.063381865
TCGA-4Z-AA7S-01,0.05141121
TCGA-4Z-AA7W-01,0.027731372
TCGA-4Z-AA7Y-01,0.045971035
TCGA-4Z-AA80-01,0.029238171
TCGA-4Z-AA81-01,0.035129946
TCGA-4Z-AA82-01,0.031781504
TCGA-4Z-AA83-01,0.04206943
TCGA-4Z-AA84-01,0.029899039
TCGA-4Z-AA86-01,0.025059089
TCGA-4Z-AA87-01,0.033037509
TCGA-4Z-AA89-01,0.026589686
TCGA-5N-A9KI-01,0.031268266
TCGA-5N-A9KM-01,0.032034825
TCGA-BL-A0C8-01,0.041239047
TCGA-BL-A13I-01,0.031882624
TCGA-BL-A13J-01,0.023979245
TCGA-BL-A3JM-01,0.052866738
TCGA-BL-A5ZZ-01,0.026543891
TCGA-BT-A0S7-01,0.025783048
TCGA-BT-A0YX-01,0.028107811
TCGA-BT-A20J-01,0.030263827
TCGA-BT-A20N-01,0.025376931
TCGA-BT-A20O-01,0.037422396
TCGA-BT-A20P-01,0.057230146
TCGA-BT-A20Q-01,0.030468669
TCGA-BT-A20R-01,0.026232216
TCGA-BT-A20T-01,0.022324044
TCGA-BT-A20U-01,0.027130056
TCGA-BT-A20V-01,0.04922264
TCGA-BT-A20W-01,0.0176103
TCGA-BT-A20X-01,0.021706032
TCGA-BT-A2LA-01,0.075883228
TCGA-BT-A2LB-01,0.016095219
TCGA-BT-A2LD-01,0.032475955
TCGA-BT-A3PH-01,0.074760619
TCGA-BT-A3PJ-01,0.038643803
TCGA-BT-A3PK-01,0.024117454
TCGA-BT-A42B-01,0.056231804
TCGA-BT-A42C-01,0.027224791
TCGA-BT-A42E-01,0.033052573
TCGA-BT-A42F-01,0.023246653
TCGA-C4-A0EZ-01,0.079917402
TCGA-C4-A0F0-01,0.039630408
TCGA-C4-A0F1-01,0.043066369
TCGA-C4-A0F6-01,0.037622199
TCGA-C4-A0F7-01,0.047162692
TCGA-CF-A1HR-01,0.013439823
TCGA-CF-A1HS-01,0.026739222
TCGA-CF-A27C-01,0.059672563
TCGA-CF-A3MF-01,0.069984815
TCGA-CF-A3MG-01,0.063534007
TCGA-CF-A3MH-01,0.057537897
TCGA-CF-A3MI-01,0.039850054
TCGA-CF-A47S-01,0.041570451
TCGA-CF-A47T-01,0.04834945
TCGA-CF-A47V-01,0.059749334
TCGA-CF-A47W-01,0.047248301
TCGA-CF-A47X-01,0.057494448
TCGA-CF-A47Y-01,0.036855518
TCGA-CF-A5U8-01,0.046901016
TCGA-CF-A5UA-01,0.053464123
TCGA-CF-A7I0-01,0.034678791
TCGA-CF-A8HX-01,0.050313402
TCGA-CF-A8HY-01,0.049579521
TCGA-CF-A9FF-01,0.022738624
TCGA-CF-A9FH-01,0.053052821
TCGA-CF-A9FL-01,0.035218411
TCGA-CF-A9FM-01,0.054042394
TCGA-CU-A0YN-01,0.028332119
TCGA-CU-A0YO-01,0.015717022
TCGA-CU-A0YR-01,0.031952667
TCGA-CU-A3KJ-01,0.04373327
TCGA-CU-A3QU-01,0.087381081
TCGA-CU-A3YL-01,0.033402547
TCGA-CU-A5W6-01,0.017237097
TCGA-CU-A72E-01,0.028141608
TCGA-DK-A1A3-01,0.023770447
TCGA-DK-A1A5-01,0.023312564
TCGA-DK-A1A6-06,0.027503906
TCGA-DK-A1A6-01,0.051925811
TCGA-DK-A1A7-01,0.040181446
TCGA-DK-A1AA-01,0.043208773
TCGA-DK-A1AB-01,0.033182256
TCGA-DK-A1AC-01,0.039420076
TCGA-DK-A1AD-01,0.043979511
TCGA-DK-A1AE-01,0.036720359
TCGA-DK-A1AF-01,0.023930324
TCGA-DK-A1AG-01,0.033348155
TCGA-DK-A2HX-01,0.030892802
TCGA-DK-A2I1-01,0.023932188
TCGA-DK-A2I2-01,0.034692606
TCGA-DK-A2I4-01,0.026430541
TCGA-DK-A2I6-01,0.036112083
TCGA-DK-A3IK-01,0.018997458
TCGA-DK-A3IL-01,0.033994853
TCGA-DK-A3IM-01,0.040618592
TCGA-DK-A3IN-01,0.023808042
TCGA-DK-A3IQ-01,0.022492085
TCGA-DK-A3IS-01,0.044205874
TCGA-DK-A3IT-01,0.020001444
TCGA-DK-A3IU-01,0.021724116
TCGA-DK-A3IV-01,0.020683661
TCGA-DK-A3WW-01,0.034884821
TCGA-DK-A3WX-01,0.030673035
TCGA-DK-A3WY-01,0.053742549
TCGA-DK-A3X1-01,0.020875117
TCGA-DK-A3X2-01,0.050442623
TCGA-DK-A6AV-01,0.02061276
TCGA-DK-A6AW-01,0.061619903
TCGA-DK-A6B0-01,0.043890234
TCGA-DK-A6B1-01,0.055024214
TCGA-DK-A6B2-01,0.02303789
TCGA-DK-A6B5-01,0.027413238
TCGA-DK-A6B6-01,0.030894233
TCGA-DK-AA6L-01,0.031970548
TCGA-DK-AA6M-01,0.03360202
TCGA-DK-AA6P-01,0.047908493
TCGA-DK-AA6Q-01,0.03058349
TCGA-DK-AA6R-01,0.032170967
TCGA-DK-AA6S-01,0.02746944
TCGA-DK-AA6T-01,0.072943112
TCGA-DK-AA6U-01,0.02399706
TCGA-DK-AA6W-01,0.044429679
TCGA-DK-AA6X-01,0.016651682
TCGA-DK-AA71-01,0.037693752
TCGA-DK-AA74-01,0.02049591
TCGA-DK-AA75-01,0.051495248
TCGA-DK-AA76-01,0.044275643
TCGA-DK-AA77-01,0.032816597
TCGA-E5-A2PC-01,0.04791621
TCGA-E5-A4TZ-01,0.045258735
