Sample ID,MYTH score
TCGA-3C-AAAU-01,0.042008049
TCGA-3C-AALI-01,0.040424696
TCGA-3C-AALJ-01,0.033142774
TCGA-3C-AALK-01,0.020593616
TCGA-4H-AAAK-01,0.018424393
TCGA-5L-AAT0-01,0.015236984
TCGA-5L-AAT1-01,0.016265113
TCGA-5T-A9QA-01,0.063463634
TCGA-A1-A0SB-01,0.065502319
TCGA-A1-A0SE-01,0.014027581
TCGA-A1-A0SF-01,0.015697493
TCGA-A1-A0SG-01,0.024495104
TCGA-A1-A0SH-01,0.015341908
TCGA-A1-A0SI-01,0.019527638
TCGA-A1-A0SJ-01,0.028897778
TCGA-A1-A0SK-01,0.085834339
TCGA-A1-A0SM-01,0.029388126
TCGA-A1-A0SN-01,0.028173216
TCGA-A1-A0SO-01,0.06690542
TCGA-A1-A0SP-01,0.030145894
TCGA-A1-A0SQ-01,0.048409143
TCGA-A2-A04R-01,0.064803345
TCGA-A2-A0CK-01,0.019676879
TCGA-A2-A0CO-01,0.014360375
TCGA-A2-A0CR-01,0.016978118
TCGA-A2-A0CT-01,0.063328783
TCGA-A2-A0EN-01,0.015326181
TCGA-A2-A0EP-01,0.03039547
TCGA-A2-A0EU-01,0.036845292
TCGA-A2-A0ST-01,0.037871093
TCGA-A2-A0SU-01,0.023708936
TCGA-A2-A0SV-01,0.02535792
TCGA-A2-A0SW-01,0.038238461
TCGA-A2-A0SX-01,0.032323936
TCGA-A2-A0SY-01,0.026269543
TCGA-A2-A0T0-01,0.034561331
TCGA-A2-A0T1-01,0.02224006
TCGA-A2-A0T2-01,0.047445678
TCGA-A2-A0T4-01,0.018090008
TCGA-A2-A0T5-01,0.022676111
TCGA-A2-A0T6-01,0.019620472
TCGA-A2-A0T7-01,0.015616652
TCGA-A2-A0YC-01,0.030253175
TCGA-A2-A0YD-01,0.017874889
TCGA-A2-A0YE-01,0.05509245
TCGA-A2-A0YF-01,0.038988555
TCGA-A2-A0YG-01,0.042246493
TCGA-A2-A0YH-01,0.029663836
TCGA-A2-A0YI-01,0.018536701
TCGA-A2-A0YJ-01,0.054471625
TCGA-A2-A0YK-01,0.013705389
TCGA-A2-A0YL-01,0.014226059
TCGA-A2-A0YM-01,0.055205604
TCGA-A2-A0YT-01,0.04393689
TCGA-A2-A1FV-01,0.071949669
TCGA-A2-A1FW-01,0.057473754
TCGA-A2-A1FX-01,0.032203651
TCGA-A2-A1FZ-01,0.018733167
TCGA-A2-A1G0-01,0.017183481
TCGA-A2-A1G1-01,0.03253527
TCGA-A2-A1G4-01,0.043277379
TCGA-A2-A1G6-01,0.026716841
TCGA-A2-A259-01,0.014551892
TCGA-A2-A25A-01,0.011889274
TCGA-A2-A25B-01,0.039444006
TCGA-A2-A25C-01,0.021589195
TCGA-A2-A25D-01,0.020137364
TCGA-A2-A25E-01,0.029141945
TCGA-A2-A25F-01,0.0407241
TCGA-A2-A3KC-01,0.01964425
TCGA-A2-A3KD-01,0.02005552
TCGA-A2-A3XS-01,0.034054108
TCGA-A2-A3XT-01,0.032015137
TCGA-A2-A3XU-01,0.07562819
TCGA-A2-A3XV-01,0.044523354
TCGA-A2-A3XW-01,0.02967145
TCGA-A2-A3XX-01,0.034904216
TCGA-A2-A3XY-01,0.027828138
TCGA-A2-A3XZ-01,0.022281361
TCGA-A2-A3Y0-01,0.034153384
TCGA-A2-A4RW-01,0.016462412
TCGA-A2-A4RX-01,0.027838777
TCGA-A2-A4RY-01,0.014975081
TCGA-A2-A4S0-01,0.039390799
TCGA-A2-A4S1-01,0.042902564
TCGA-A2-A4S2-01,0.019421066
TCGA-A2-A4S3-01,0.02194328
TCGA-A7-A0D9-01,0.039656287
TCGA-A7-A13D-01,0.042332971
TCGA-A7-A13E-01,0.077657608
TCGA-A7-A13F-01,0.042941224
TCGA-A7-A13G-01,0.047896858
TCGA-A7-A13H-01,0.011126047
TCGA-A7-A26E-01,0.028747319
TCGA-A7-A26F-01,0.027004155
TCGA-A7-A26G-01,0.029455829
TCGA-A7-A26H-01,0.019517608
TCGA-A7-A26I-01,0.042193269
TCGA-A7-A26J-01,0.029531552
TCGA-A7-A2KD-01,0.030661941
TCGA-A7-A3IY-01,0.029786029
TCGA-A7-A3IZ-01,0.054364741
TCGA-A7-A3J0-01,0.058575476
TCGA-A7-A3J1-01,0.015086082
TCGA-A7-A3RF-01,0.043955037
TCGA-A7-A425-01,0.01916766
TCGA-A7-A426-01,0.011328531
TCGA-A7-A4SA-01,0.016805084
TCGA-A7-A4SB-01,0.029717015
TCGA-A7-A4SC-01,0.019938879
TCGA-A7-A4SD-01,0.035844929
TCGA-A7-A4SE-01,0.031896177
TCGA-A7-A4SF-01,0.060675892
TCGA-A7-A56D-01,0.023462317
TCGA-A7-A5ZV-01,0.066581944
TCGA-A7-A5ZW-01,0.013780703
TCGA-A7-A5ZX-01,0.016271354
TCGA-A7-A6VV-01,0.039278896
TCGA-A7-A6VW-01,0.036214444
TCGA-A7-A6VX-01,0.038957551
