Sample ID,MYTH score
TCGA-2W-A8YY-01,0.05871859
TCGA-4J-AA1J-01,0.039512395
TCGA-BI-A0VR-01,0.012678673
TCGA-BI-A0VS-01,0.029489515
TCGA-BI-A20A-01,0.026931333
TCGA-C5-A0TN-01,0.039100607
TCGA-C5-A1BE-01,0.020597944
TCGA-C5-A1BF-01,0.028294753
TCGA-C5-A1BI-01,0.025462735
TCGA-C5-A1BJ-01,0.016436125
TCGA-C5-A1BK-01,0.021259107
TCGA-C5-A1BL-01,0.025617339
TCGA-C5-A1BM-01,0.024922821
TCGA-C5-A1BN-01,0.031577943
TCGA-C5-A1BQ-01,0.026527846
TCGA-C5-A1M5-01,0.028405859
TCGA-C5-A1M6-01,0.042494191
TCGA-C5-A1M7-01,0.018300938
TCGA-C5-A1M8-01,0.06286698
TCGA-C5-A1M9-01,0.058282229
TCGA-C5-A1ME-01,0.056761295
TCGA-C5-A1MF-01,0.032188257
TCGA-C5-A1MH-01,0.015788792
TCGA-C5-A1MI-01,0.037132385
TCGA-C5-A1MJ-01,0.04821729
TCGA-C5-A1MK-01,0.019207439
TCGA-C5-A1ML-01,0.042881295
TCGA-C5-A1MN-01,0.040666935
TCGA-C5-A1MP-01,0.022477858
TCGA-C5-A1MQ-01,0.034263485
TCGA-C5-A2LS-01,0.042307137
TCGA-C5-A2LT-01,0.032315093
TCGA-C5-A2LV-01,0.060103711
TCGA-C5-A2LX-01,0.039353078
TCGA-C5-A2LY-01,0.02654005
TCGA-C5-A2LZ-01,0.020603329
TCGA-C5-A2M1-01,0.049842527
TCGA-C5-A2M2-01,0.096681424
TCGA-C5-A3HD-01,0.054319881
TCGA-C5-A3HE-01,0.026136212
TCGA-C5-A3HF-01,0.02196164
TCGA-C5-A3HL-01,0.025843861
TCGA-C5-A7CG-01,0.029689686
TCGA-C5-A7CH-01,0.032462779
TCGA-C5-A7CJ-01,0.017563532
TCGA-C5-A7CK-01,0.029940772
TCGA-C5-A7CL-01,0.025848027
TCGA-C5-A7CM-01,0.0387363
