Sample ID,MYTH score
TCGA-3X-AAV9-01,0.0295281
TCGA-3X-AAVA-01,0.053562367
TCGA-3X-AAVB-01,0.026440918
TCGA-3X-AAVC-01,0.036941167
TCGA-3X-AAVE-01,0.015876699
TCGA-4G-AAZO-01,0.036079348
TCGA-4G-AAZT-01,0.025496729
TCGA-W5-AA2G-01,0.021915073
TCGA-W5-AA2H-01,0.054685881
TCGA-W5-AA2I-01,0.046474232
TCGA-W5-AA2O-01,0.036378912
TCGA-W5-AA2Q-01,0.047207602
TCGA-W5-AA2R-01,0.01772876
TCGA-W5-AA2T-01,0.058515445
TCGA-W5-AA2U-01,0.043544415
TCGA-W5-AA2W-01,0.043557896
TCGA-W5-AA2X-01,0.066496778
TCGA-W5-AA2Z-01,0.021940132
TCGA-W5-AA30-01,0.025675029
TCGA-W5-AA31-01,0.024217849
TCGA-W5-AA33-01,0.01839486
TCGA-W5-AA34-01,0.035127673
TCGA-W5-AA36-01,0.055103806
TCGA-W5-AA38-01,0.020832917
TCGA-W5-AA39-01,0.059938844
TCGA-W6-AA0S-01,0.040746361
TCGA-WD-A7RX-01,0.0186021
TCGA-YR-A95A-01,0.03858339
TCGA-ZD-A8I3-01,0.02149493
TCGA-ZH-A8Y1-01,0.036796597
TCGA-ZH-A8Y2-01,0.057545783
TCGA-ZH-A8Y4-01,0.035643709
TCGA-ZH-A8Y5-01,0.057223992
TCGA-ZH-A8Y6-01,0.055990337
TCGA-ZH-A8Y8-01,0.021439433
TCGA-ZU-A8S4-01,0.024238378
