Sample ID,MYTH score
TCGA-3L-AA1B-01,0.01281315
TCGA-4N-A93T-01,0.035184545
TCGA-5M-AAT4-01,0.018472918
TCGA-5M-AAT5-01,0.031901562
TCGA-5M-AAT6-01,0.036192614
TCGA-5M-AATA-01,0.02453199
TCGA-5M-AATE-01,0.033144417
TCGA-A6-2671-01,0.02773231
TCGA-A6-2675-01,0.019420734
TCGA-A6-2677-01,0.031923349
TCGA-A6-2679-01,0.020254889
TCGA-A6-2680-01,0.022715028
TCGA-A6-2681-01,0.023746572
TCGA-A6-2682-01,0.017601402
TCGA-A6-2684-01,0.02382299
TCGA-A6-2685-01,0.027081698
TCGA-A6-2686-01,0.045735207
TCGA-A6-3810-01,0.022766859
TCGA-A6-4105-01,0.024204057
TCGA-A6-4107-01,0.027728569
TCGA-A6-5656-01,0.027959795
TCGA-A6-5657-01,0.01864236
TCGA-A6-5659-01,0.039210254
TCGA-A6-5660-01,0.027350178
TCGA-A6-5661-01,0.039094774
TCGA-A6-5662-01,0.040656257
TCGA-A6-5664-01,0.016778837
TCGA-A6-5665-01,0.041093242
TCGA-A6-5666-01,0.049520939
TCGA-A6-5667-01,0.027395621
TCGA-A6-6137-01,0.014573634
TCGA-A6-6138-01,0.022045966
TCGA-A6-6140-01,0.033244978
TCGA-A6-6141-01,0.016861027
TCGA-A6-6142-01,0.03600859
TCGA-A6-6648-01,0.026103449
TCGA-A6-6649-01,0.021159343
TCGA-A6-6650-01,0.038819375
TCGA-A6-6651-01,0.028294685
TCGA-A6-6652-01,0.033062311
TCGA-A6-6653-01,0.065212709
TCGA-A6-6654-01,0.019567792
TCGA-A6-6782-01,0.019388308
TCGA-A6-A567-01,0.028960786
TCGA-A6-A56B-01,0.04220321
TCGA-A6-A5ZU-01,0.046766835
TCGA-AA-3488-01,0.0351007
TCGA-AA-3489-01,0.021198423
TCGA-AA-3492-01,0.05690897
TCGA-AA-3494-01,0.039299961
TCGA-AA-3495-01,0.014860932
TCGA-AA-3496-01,0.025923128
TCGA-AA-3502-01,0.049213512
TCGA-AA-3506-01,0.022007299
TCGA-AA-3509-01,0.034597186
TCGA-AA-3510-01,0.024489099
TCGA-AA-3511-01,0.020264712
TCGA-AA-3655-01,0.031058648
TCGA-AA-3660-01,0.025986446
TCGA-AA-3662-01,0.02511402
TCGA-AA-3663-01,0.062410491
TCGA-AA-3697-01,0.025907242
TCGA-AA-3712-01,0.027444306
TCGA-AA-3713-01,0.038440323
TCGA-AD-6548-01,0.019752553
TCGA-AD-6888-01,0.022267056
TCGA-AD-6889-01,0.072945751
TCGA-AD-6890-01,0.020419777
TCGA-AD-6895-01,0.030618999
TCGA-AD-6901-01,0.017768977
TCGA-AD-6963-01,0.023021085
TCGA-AD-6964-01,0.030425234
TCGA-AD-6965-01,0.033292668
TCGA-AD-A5EJ-01,0.061339631
TCGA-AD-A5EK-01,0.041183199
TCGA-AM-5820-01,0.027935047
TCGA-AM-5821-01,0.04164511
TCGA-AU-3779-01,0.027990187
TCGA-AU-6004-01,0.026014043
TCGA-AY-5543-01,0.024306048
TCGA-AY-6197-01,0.048126202
TCGA-AY-6386-01,0.021080566
TCGA-AY-A54L-01,0.024342516
TCGA-AY-A69D-01,0.036365115
TCGA-AY-A71X-01,0.042583067
TCGA-AY-A8YK-01,0.042606777
TCGA-AZ-4308-01,0.028845845
TCGA-AZ-4313-01,0.035881374
TCGA-AZ-4315-01,0.027160244
TCGA-AZ-4323-01,0.035814722
TCGA-AZ-4614-01,0.048382288
TCGA-AZ-4615-01,0.03704827
TCGA-AZ-4616-01,0.018179305
TCGA-AZ-4681-01,0.036660645
TCGA-AZ-4682-01,0.03261657
TCGA-AZ-4684-01,0.023034958
TCGA-AZ-5403-01,0.02697159
TCGA-AZ-5407-01,0.027060326
TCGA-AZ-6598-01,0.073173501
TCGA-AZ-6599-01,0.048615203
TCGA-AZ-6600-01,0.017081454
TCGA-AZ-6601-01,0.0310617
TCGA-AZ-6603-01,0.032093412
TCGA-AZ-6605-01,0.015399363
TCGA-AZ-6606-01,0.042449663
TCGA-AZ-6607-01,0.033403783
TCGA-AZ-6608-01,0.039746956
TCGA-CA-5254-01,0.051828309
TCGA-CA-5255-01,0.016891988
TCGA-CA-5256-01,0.025712375
TCGA-CA-5797-01,0.039798065
TCGA-CA-6715-01,0.042668896
TCGA-CA-6716-01,0.040359805
TCGA-CA-6718-01,0.036689943
TCGA-CA-6719-01,0.022640991
TCGA-CK-4947-01,0.018068807
TCGA-CK-4948-01,0.028200956
TCGA-CK-5912-01,0.045864527
TCGA-CK-5913-01,0.041141132
TCGA-CK-5914-01,0.03008619
TCGA-CK-5915-01,0.044646459
TCGA-CK-5916-01,0.04268106
TCGA-CK-6746-01,0.068291442
TCGA-CK-6747-01,0.02756716
TCGA-CM-4743-01,0.031320698
TCGA-CM-4744-01,0.031450941
TCGA-CM-4746-01,0.031501488
TCGA-CM-4747-01,0.022281123
TCGA-CM-4750-01,0.023202309
TCGA-CM-4751-01,0.022867623
TCGA-CM-4752-01,0.020359189
TCGA-CM-5341-01,0.020317859
TCGA-CM-5344-01,0.023672713
TCGA-CM-5348-01,0.0311211
TCGA-CM-5349-01,0.020029782
TCGA-CM-5860-01,0.02617062
TCGA-CM-5861-01,0.045640111
TCGA-CM-5862-01,0.03890348
TCGA-CM-5864-01,0.030651764
TCGA-CM-5868-01,0.02232326
TCGA-CM-6161-01,0.029670868
TCGA-CM-6163-01,0.018624965
TCGA-CM-6164-01,0.019442825
TCGA-CM-6165-01,0.022715264
TCGA-CM-6166-01,0.024214008
TCGA-CM-6167-01,0.023009616
TCGA-CM-6168-01,0.016232714
TCGA-CM-6169-01,0.02511847
TCGA-CM-6170-01,0.026612241
TCGA-CM-6171-01,0.056967403
TCGA-CM-6172-01,0.031069632
TCGA-CM-6674-01,0.02522858
TCGA-CM-6675-01,0.074922524
TCGA-CM-6676-01,0.020986296
TCGA-CM-6677-01,0.021891638
TCGA-CM-6678-01,0.018560473
TCGA-CM-6679-01,0.018200607
TCGA-CM-6680-01,0.028723697
TCGA-D5-5537-01,0.029127028
TCGA-D5-5538-01,0.034449663
TCGA-D5-5540-01,0.043619426
TCGA-D5-5541-01,0.026170539
TCGA-D5-6529-01,0.019058218
TCGA-D5-6530-01,0.035140373
TCGA-D5-6531-01,0.044537643
TCGA-D5-6532-01,0.032267509
TCGA-D5-6533-01,0.026621581
TCGA-D5-6535-01,0.020307835
TCGA-D5-6536-01,0.050109887
TCGA-D5-6537-01,0.026885748
TCGA-D5-6538-01,0.059050289
TCGA-D5-6539-01,0.018505983
TCGA-D5-6541-01,0.024715221
TCGA-D5-6898-01,0.024483552
TCGA-D5-6920-01,0.015262758
TCGA-D5-6922-01,0.025385423
TCGA-D5-6923-01,0.022636178
TCGA-D5-6924-01,0.019505707
TCGA-D5-6926-01,0.018566015
TCGA-D5-6927-01,0.023062478
TCGA-D5-6929-01,0.021054441
TCGA-D5-6931-01,0.023428862
TCGA-D5-6932-01,0.025669751
TCGA-DM-A0X9-01,0.037150863
TCGA-DM-A0XD-01,0.030384958
TCGA-DM-A0XF-01,0.021064549
TCGA-DM-A1D0-01,0.033485252
TCGA-DM-A1D4-01,0.038994043
TCGA-DM-A1D7-01,0.0178863
TCGA-DM-A1D8-01,0.030979805
TCGA-DM-A1D9-01,0.028095445
TCGA-DM-A1DA-01,0.068268422
TCGA-DM-A1DB-01,0.039823359
TCGA-DM-A1HA-01,0.0683892
TCGA-DM-A1HB-01,0.038328706
TCGA-DM-A282-01,0.023991678
TCGA-DM-A28A-01,0.03148171
TCGA-DM-A28C-01,0.040242568
TCGA-DM-A28E-01,0.041923433
TCGA-DM-A28F-01,0.027322892
TCGA-DM-A28G-01,0.019689113
