Sample ID,MYTH score
TCGA-FA-8693-01,0.03250244
TCGA-FA-A4BB-01,0.017967236
TCGA-FA-A4XK-01,0.047448249
TCGA-FA-A6HN-01,0.026789247
TCGA-FA-A6HO-01,0.025137639
TCGA-FA-A7DS-01,0.044496185
TCGA-FA-A7Q1-01,0.071981891
TCGA-FA-A82F-01,0.030129209
TCGA-FA-A86F-01,0.016049613
TCGA-FF-8041-01,0.034873093
TCGA-FF-8042-01,0.070633584
TCGA-FF-8043-01,0.067687471
TCGA-FF-8046-01,0.024183444
TCGA-FF-8047-01,0.066688544
TCGA-FF-8061-01,0.083611883
TCGA-FF-8062-01,0.024247101
TCGA-FF-A7CQ-01,0.031209602
TCGA-FF-A7CR-01,0.025059613
TCGA-FF-A7CW-01,0.024891907
TCGA-FF-A7CX-01,0.079883724
TCGA-FM-8000-01,0.044994937
TCGA-G8-6324-01,0.044023252
TCGA-G8-6325-01,0.0273748
TCGA-G8-6326-01,0.04555931
TCGA-G8-6906-01,0.037401231
TCGA-G8-6907-01,0.053167068
TCGA-G8-6909-01,0.028929115
TCGA-G8-6914-01,0.023421705
TCGA-GR-7351-01,0.044708355
TCGA-GR-7353-01,0.047129196
TCGA-GR-A4D4-01,0.032151076
TCGA-GR-A4D5-01,0.020049223
TCGA-GR-A4D6-01,0.019080022
TCGA-GR-A4D9-01,0.028257489
TCGA-GS-A9TQ-01,0.047212305
TCGA-GS-A9TT-01,0.086525409
TCGA-GS-A9TU-01,0.021313744
TCGA-GS-A9TV-01,0.036110125
TCGA-GS-A9TW-01,0.031018217
TCGA-GS-A9TX-01,0.031717256
TCGA-GS-A9TY-01,0.049517555
TCGA-GS-A9TZ-01,0.030332617
TCGA-GS-A9U3-01,0.015779504
TCGA-GS-A9U4-01,0.045312374
TCGA-RQ-A68N-01,0.030997245
TCGA-RQ-A6JB-01,0.033913529
TCGA-RQ-AAAT-01,0.042423676
TCGA-VB-A8QN-01,0.027899727
