Sample ID,MYTH score
TCGA-2H-A9GF-01,0.047493168
TCGA-2H-A9GG-01,0.048746115
TCGA-2H-A9GH-01,0.036157318
TCGA-2H-A9GI-01,0.039504658
TCGA-2H-A9GJ-01,0.049761671
TCGA-2H-A9GK-01,0.02065557
TCGA-2H-A9GL-01,0.063583447
TCGA-2H-A9GM-01,0.039956155
TCGA-2H-A9GN-01,0.043179645
TCGA-2H-A9GO-01,0.026590719
TCGA-2H-A9GQ-01,0.055649583
TCGA-2H-A9GR-01,0.029568334
TCGA-IC-A6RE-01,0.025461972
TCGA-IC-A6RF-01,0.034325629
TCGA-IG-A3I8-01,0.044625879
TCGA-IG-A3QL-01,0.049586456
TCGA-IG-A3Y9-01,0.020806774
TCGA-IG-A3YA-01,0.017894606
TCGA-IG-A3YB-01,0.060592629
TCGA-IG-A3YC-01,0.016668221
TCGA-IG-A4P3-01,0.019851052
TCGA-IG-A4QS-01,0.045509933
TCGA-IG-A4QT-01,0.041998831
TCGA-IG-A50L-01,0.026161433
TCGA-IG-A51D-01,0.019439373
TCGA-IG-A5B8-01,0.027131869
TCGA-IG-A5S3-01,0.037522227
TCGA-IG-A625-01,0.037306245
TCGA-IG-A6QS-01,0.036703894
TCGA-IG-A7DP-01,0.030578846
TCGA-IG-A8O2-01,0.028691522
TCGA-IG-A97H-01,0.033764906
TCGA-IG-A97I-01,0.029128037
TCGA-JY-A6F8-01,0.066613598
TCGA-JY-A6FA-01,0.043023544
TCGA-JY-A6FB-01,0.045561562
TCGA-JY-A6FD-01,0.020017778
TCGA-JY-A6FE-01,0.046988269
TCGA-JY-A6FG-01,0.048084868
TCGA-JY-A6FH-01,0.047196496
TCGA-JY-A938-01,0.023426741
TCGA-JY-A939-01,0.018861524
TCGA-JY-A93C-01,0.068543188
TCGA-JY-A93D-01,0.019597363
TCGA-JY-A93E-01,0.037273245
TCGA-JY-A93F-01,0.055778419
TCGA-KH-A6WC-01,0.016663195
TCGA-L5-A43C-01,0.02077258
TCGA-L5-A43E-01,0.054571855
TCGA-L5-A43H-01,0.018591753
TCGA-L5-A43I-01,0.051150553
TCGA-L5-A43J-01,0.040165997
TCGA-L5-A43M-01,0.027245436
TCGA-L5-A4OE-01,0.031398891
TCGA-L5-A4OF-01,0.021006211
TCGA-L5-A4OG-01,0.022034492
TCGA-L5-A4OH-01,0.037122647
TCGA-L5-A4OI-01,0.079114521
TCGA-L5-A4OJ-01,0.056317315
TCGA-L5-A4OM-01,0.031365777
TCGA-L5-A4ON-01,0.048509848
TCGA-L5-A4OO-01,0.013226659
TCGA-L5-A4OP-01,0.035896362
TCGA-L5-A4OQ-01,0.026947725
TCGA-L5-A4OR-01,0.038899403
TCGA-L5-A4OS-01,0.028510674
TCGA-L5-A4OT-01,0.028160756
TCGA-L5-A4OU-01,0.023429298
TCGA-L5-A4OW-01,0.024559096
TCGA-L5-A4OX-01,0.043065326
TCGA-L5-A88S-01,0.021350555
TCGA-L5-A88T-01,0.019369016
TCGA-L5-A88V-01,0.058119578
TCGA-L5-A88W-01,0.037025677
TCGA-L5-A88Y-01,0.029751629
TCGA-L5-A88Z-01,0.045746311
TCGA-L5-A891-01,0.048287991
TCGA-L5-A893-01,0.029186363
TCGA-L5-A8NE-01,0.05057775
TCGA-L5-A8NF-01,0.045776605
TCGA-L5-A8NG-01,0.021461495
TCGA-L5-A8NH-01,0.037808329
TCGA-L5-A8NI-01,0.030730036
TCGA-L5-A8NJ-01,0.072940217
TCGA-L5-A8NK-01,0.023546944
