Sample ID,MYTH score
TCGA-06-0125-01,0.021381473
TCGA-06-0125-02,0.01664795
TCGA-06-0152-01,0.026448419
TCGA-06-0152-02,0.032831372
TCGA-06-0171-01,0.012903664
TCGA-06-0171-02,0.017299628
TCGA-06-0190-01,0.012943988
TCGA-06-0190-02,0.021450125
TCGA-06-0210-01,0.021534087
TCGA-06-0210-02,0.019687314
TCGA-06-0211-01,0.016944354
TCGA-06-0211-02,0.02259836
TCGA-06-0221-01,0.056236521
TCGA-06-0221-02,0.059645563
TCGA-06-0650-01,0.013123279
TCGA-06-1804-01,0.026006571
TCGA-06-1806-01,0.024630601
TCGA-06-5408-01,0.017348249
TCGA-06-5410-01,0.027200289
TCGA-06-5411-01,0.017181031
TCGA-06-5412-01,0.024578657
TCGA-06-5413-01,0.01752926
TCGA-06-5414-01,0.030142929
TCGA-06-5415-01,0.025097908
TCGA-06-5416-01,0.077101612
TCGA-06-5417-01,0.078244259
TCGA-06-5418-01,0.021203835
TCGA-06-5856-01,0.026959569
TCGA-06-5858-01,0.031588148
TCGA-06-5859-01,0.02655464
TCGA-06-6388-01,0.016618418
TCGA-06-6389-01,0.053435188
TCGA-06-6390-01,0.021181115
TCGA-06-6391-01,0.024521574
TCGA-06-6693-01,0.025356861
TCGA-06-6694-01,0.018497122
TCGA-06-6695-01,0.034343733
TCGA-06-6697-01,0.0176297
TCGA-06-6698-01,0.027752438
TCGA-06-6699-01,0.032678954
TCGA-06-6700-01,0.015746767
TCGA-06-6701-01,0.073226038
TCGA-06-A5U0-01,0.050827205
TCGA-06-A5U1-01,0.019533393
TCGA-06-A6S0-01,0.031613913
TCGA-06-A6S1-01,0.017726076
TCGA-06-A7TK-01,0.017744972
TCGA-06-A7TL-01,0.055821119
TCGA-12-5295-01,0.037195741
TCGA-12-5299-01,0.033354811
TCGA-12-5301-01,0.030382548
TCGA-14-0736-01,0.025546868
TCGA-14-0736-02,0.014872016
TCGA-14-0740-01,0.057752099
TCGA-14-0781-01,0.032030593
TCGA-14-0862-01,0.023267091
TCGA-14-1034-02,0.052544171
TCGA-14-1043-01,0.015173261
TCGA-14-1395-01,0.022881168
TCGA-14-1402-01,0.019196896
TCGA-14-1402-02,0.026561022
TCGA-14-1450-01,0.020790484
TCGA-15-1444-01,0.033505526
TCGA-19-0957-01,0.023109487
TCGA-19-0957-02,0.016157783
TCGA-19-1389-01,0.014119789
TCGA-19-1389-02,0.015862563
TCGA-19-4065-01,0.020630794
TCGA-19-4065-02,0.014263834
TCGA-19-5947-01,0.019625103
TCGA-19-5950-01,0.020808115
TCGA-19-5951-01,0.051066805
TCGA-19-5952-01,0.016813327
TCGA-19-5953-01,0.008767177
TCGA-19-5954-01,0.023220272
TCGA-19-5955-01,0.016688139
TCGA-19-5956-01,0.037721182
TCGA-19-5958-01,0.015999058
TCGA-19-5959-01,0.030880366
TCGA-19-5960-01,0.039583955
TCGA-19-A60I-01,0.039805882
TCGA-19-A6J4-01,0.023761986
TCGA-19-A6J5-01,0.079959558
TCGA-26-1442-01,0.043193823
TCGA-26-5132-01,0.046559799
TCGA-26-5133-01,0.086414377
TCGA-26-5134-01,0.042091593
TCGA-26-5135-01,0.033170558
TCGA-26-5136-01,0.020669361
TCGA-26-5139-01,0.023457498
TCGA-26-6173-01,0.01464191
TCGA-26-6174-01,0.011155642
TCGA-26-A7UX-01,0.041244887
TCGA-28-2501-01,0.010888823
TCGA-28-2510-01,0.014194268
TCGA-28-5204-01,0.034920164
TCGA-28-5207-01,0.018099056
TCGA-28-5208-01,0.030106987
TCGA-28-5209-01,0.053476598
TCGA-28-5211-01,0.02092753
TCGA-28-5213-01,0.01923458
TCGA-28-5214-01,0.027488645
TCGA-28-5215-01,0.020685637
TCGA-28-5216-01,0.041044818
TCGA-28-5218-01,0.033175026
TCGA-28-5219-01,0.01976195
TCGA-28-5220-01,0.03439477
TCGA-28-6450-01,0.026951974
TCGA-32-1979-01,0.035905363
TCGA-32-1980-01,0.015451404
TCGA-32-5222-01,0.036189102
TCGA-41-5651-01,0.035817765
TCGA-41-6646-01,0.022332044
TCGA-4W-AA9R-01,0.029918597
TCGA-4W-AA9S-01,0.02011382
TCGA-4W-AA9T-01,0.017948376
TCGA-74-6573-01,0.022811714
TCGA-74-6575-01,0.010581305
TCGA-74-6577-01,0.016835517
TCGA-74-6578-01,0.01410184
TCGA-74-6581-01,0.024565439
TCGA-74-6584-01,0.013937871
TCGA-76-4925-01,0.048035628
TCGA-76-4926-01,0.018329924
TCGA-76-4927-01,0.022204165
TCGA-76-4928-01,0.017207436
TCGA-76-4929-01,0.026605954
TCGA-76-4931-01,0.025575457
TCGA-76-4932-01,0.029256475
TCGA-76-4934-01,0.030989896
TCGA-76-4935-01,0.02813134
TCGA-76-6191-01,0.029170778
TCGA-76-6192-01,0.011346016
TCGA-76-6193-01,0.011605679
TCGA-76-6280-01,0.025068384
TCGA-76-6282-01,0.015618381
TCGA-76-6283-01,0.034854574
TCGA-76-6285-01,0.034263581
TCGA-76-6286-01,0.03907598
TCGA-76-6656-01,0.025727939
TCGA-76-6657-01,0.020105666
TCGA-76-6660-01,0.027263783
TCGA-76-6661-01,0.021804464
TCGA-76-6662-01,0.015810025
TCGA-76-6663-01,0.017192104
TCGA-76-6664-01,0.015999861
TCGA-81-5910-01,0.025556337
TCGA-81-5911-01,0.027766606
TCGA-87-5896-01,0.036927472
TCGA-OX-A56R-01,0.03109134
TCGA-RR-A6KA-01,0.016578553
TCGA-RR-A6KB-01,0.011525733
TCGA-RR-A6KC-01,0.020609605
