Sample ID,MYTH score
TCGA-4P-AA8J-01,0.015905318
TCGA-BA-4074-01,0.030175028
TCGA-BA-4075-01,0.037621958
TCGA-BA-4076-01,0.049452727
TCGA-BA-4077-01,0.024170077
TCGA-BA-4078-01,0.046431448
TCGA-BA-5149-01,0.018255007
TCGA-BA-5151-01,0.018438619
TCGA-BA-5152-01,0.020208349
TCGA-BA-5153-01,0.038365713
TCGA-BA-5555-01,0.028899579
TCGA-BA-5556-01,0.013318102
TCGA-BA-5557-01,0.017384629
TCGA-BA-5558-01,0.017404038
TCGA-BA-5559-01,0.027467958
TCGA-BA-6868-01,0.035544651
TCGA-BA-6869-01,0.040093987
TCGA-BA-6870-01,0.015223624
TCGA-BA-6871-01,0.038227648
TCGA-BA-6872-01,0.024855575
TCGA-BA-6873-01,0.021968501
TCGA-BA-7269-01,0.02470194
TCGA-BA-A4IF-01,0.022771738
TCGA-BA-A4IG-01,0.019659315
TCGA-BA-A4IH-01,0.04401313
TCGA-BA-A4II-01,0.01860837
TCGA-BA-A6D8-01,0.026322506
TCGA-BA-A6DA-01,0.015644208
TCGA-BA-A6DB-01,0.013526805
TCGA-BA-A6DD-01,0.009666545
TCGA-BA-A6DE-01,0.033720979
TCGA-BA-A6DF-01,0.019754813
TCGA-BA-A6DG-01,0.016254067
TCGA-BA-A6DI-01,0.016343125
TCGA-BA-A6DJ-01,0.049273242
TCGA-BA-A6DL-01,0.02222935
TCGA-BA-A8YP-01,0.033731749
TCGA-BB-4217-01,0.019388232
TCGA-BB-4223-01,0.046539278
TCGA-BB-4224-01,0.038178469
TCGA-BB-4225-01,0.045052708
TCGA-BB-4227-01,0.040280677
TCGA-BB-4228-01,0.063987009
TCGA-BB-7861-01,0.020725158
TCGA-BB-7862-01,0.040809487
TCGA-BB-7863-01,0.027294638
TCGA-BB-7864-01,0.037438357
TCGA-BB-7866-01,0.046137988
TCGA-BB-7870-01,0.064307624
TCGA-BB-7871-01,0.027391868
TCGA-BB-7872-01,0.014688799
TCGA-BB-8596-01,0.015180247
TCGA-BB-8601-01,0.063911654
TCGA-BB-A5HU-01,0.019551559
TCGA-BB-A5HY-01,0.033159708
TCGA-BB-A5HZ-01,0.03073345
TCGA-BB-A6UM-01,0.047455685
TCGA-BB-A6UO-01,0.031052342
TCGA-C9-A47Z-01,0.049587495
TCGA-C9-A480-01,0.016188541
TCGA-CN-4722-01,0.033687229
TCGA-CN-4723-01,0.014772926
TCGA-CN-4725-01,0.025641719
TCGA-CN-4726-01,0.031832046
TCGA-CN-4727-01,0.054788126
TCGA-CN-4728-01,0.012703181
TCGA-CN-4729-01,0.011667161
TCGA-CN-4730-01,0.033078338
TCGA-CN-4731-01,0.033553047
TCGA-CN-4733-01,0.021245998
TCGA-CN-4734-01,0.037839366
TCGA-CN-4735-01,0.032991599
TCGA-CN-4736-01,0.012935512
TCGA-CN-4737-01,0.033411602
TCGA-CN-4738-01,0.011851722
TCGA-CN-4739-01,0.023161672
TCGA-CN-4740-01,0.015948944
TCGA-CN-4741-01,0.032454004
TCGA-CN-4742-01,0.013956672
TCGA-CN-5355-01,0.018514466
TCGA-CN-5356-01,0.027186328
TCGA-CN-5358-01,0.014523328
TCGA-CN-5359-01,0.01804346
TCGA-CN-5360-01,0.02289154
TCGA-CN-5361-01,0.019968512
TCGA-CN-5363-01,0.033069542
TCGA-CN-5364-01,0.013187116
TCGA-CN-5365-01,0.020261268
TCGA-CN-5366-01,0.029402805
TCGA-CN-5367-01,0.017352367
TCGA-CN-5369-01,0.01397707
TCGA-CN-5370-01,0.012399141
TCGA-CN-5373-01,0.013321881
TCGA-CN-5374-01,0.021166212
TCGA-CN-6010-01,0.022388577
TCGA-CN-6011-01,0.03789476
TCGA-CN-6012-01,0.018650031
TCGA-CN-6013-01,0.016204017
TCGA-CN-6016-01,0.017152521
TCGA-CN-6017-01,0.022307406
TCGA-CN-6018-01,0.016975818
TCGA-CN-6019-01,0.019637024
TCGA-CN-6020-01,0.010646021
TCGA-CN-6021-01,0.024921529
TCGA-CN-6022-01,0.023232462
TCGA-CN-6023-01,0.025642023
TCGA-CN-6024-01,0.035233876
TCGA-CN-6988-01,0.053392653
TCGA-CN-6989-01,0.021277879
TCGA-CN-6992-01,0.034282288
TCGA-CN-6994-01,0.025982393
TCGA-CN-6995-01,0.016665252
TCGA-CN-6996-01,0.020922041
TCGA-CN-6997-01,0.03620083
TCGA-CN-6998-01,0.025526895
TCGA-CN-A497-01,0.042182209
TCGA-CN-A498-01,0.017053692
TCGA-CN-A499-01,0.021576534
TCGA-CN-A49A-01,0.048270699
TCGA-CN-A49B-01,0.024866578
TCGA-CN-A49C-01,0.042409185
TCGA-CN-A63T-01,0.024322476
TCGA-CN-A63U-01,0.049038384
TCGA-CN-A63V-01,0.016016971
TCGA-CN-A63W-01,0.049406185
TCGA-CN-A63Y-01,0.018916383
TCGA-CN-A640-01,0.015522234
TCGA-CN-A641-01,0.039492875
TCGA-CN-A642-01,0.042019572
TCGA-CN-A6UY-01,0.049200825
TCGA-CN-A6V1-01,0.018366376
TCGA-CN-A6V3-01,0.021180434
TCGA-CN-A6V6-01,0.027566665
TCGA-CN-A6V7-01,0.059091113
TCGA-CQ-5323-01,0.022596518
TCGA-CQ-5324-01,0.038686091
TCGA-CQ-5325-01,0.018035571
TCGA-CQ-5326-01,0.020479132
TCGA-CQ-5327-01,0.022723523
TCGA-CQ-5329-01,0.021707977
TCGA-CQ-5330-01,0.03000516
TCGA-CQ-5331-01,0.017114504
TCGA-CQ-5332-01,0.036319243
TCGA-CQ-5333-01,0.032794288
TCGA-CQ-5334-01,0.0359363
TCGA-CQ-6218-01,0.013383022
TCGA-CQ-6219-01,0.015326575
TCGA-CQ-6220-01,0.013528281
TCGA-CQ-6221-01,0.026779764
TCGA-CQ-6222-01,0.017558513
TCGA-CQ-6223-01,0.020893557
TCGA-CQ-6224-01,0.018437388
TCGA-CQ-6225-01,0.078904599
TCGA-CQ-6227-01,0.011861939
TCGA-CQ-6228-01,0.054943177
TCGA-CQ-6229-01,0.013643292
TCGA-CQ-7063-01,0.026548147
TCGA-CQ-7064-01,0.012596762
TCGA-CQ-7065-01,0.034307664
TCGA-CQ-7067-01,0.016968776
TCGA-CQ-7068-01,0.049939176
TCGA-CQ-7069-01,0.019973519
