Sample ID,MYTH score
TCGA-KL-8323-01,0.049022771
TCGA-KL-8324-01,0.039576075
TCGA-KL-8325-01,0.057567161
TCGA-KL-8326-01,0.027400008
TCGA-KL-8327-01,0.042421385
TCGA-KL-8328-01,0.047655744
TCGA-KL-8329-01,0.031377946
TCGA-KL-8330-01,0.047580996
TCGA-KL-8331-01,0.044441981
TCGA-KL-8332-01,0.027083162
TCGA-KL-8333-01,0.024474563
TCGA-KL-8334-01,0.031725339
TCGA-KL-8335-01,0.046386895
TCGA-KL-8336-01,0.038901044
TCGA-KL-8337-01,0.04220644
TCGA-KL-8338-01,0.032996861
TCGA-KL-8339-01,0.066615307
TCGA-KL-8340-01,0.028941326
TCGA-KL-8341-01,0.054306278
TCGA-KL-8342-01,0.042611624
TCGA-KL-8343-01,0.031543032
TCGA-KL-8344-01,0.027287948
TCGA-KL-8345-01,0.046709234
TCGA-KL-8346-01,0.068850667
TCGA-KM-8438-01,0.041102981
TCGA-KM-8439-01,0.045352051
TCGA-KM-8440-01,0.039011531
TCGA-KM-8441-01,0.038400601
TCGA-KM-8442-01,0.044364559
TCGA-KM-8443-01,0.045561502
TCGA-KM-8476-01,0.048188126
TCGA-KM-8477-01,0.027225679
TCGA-KM-8639-01,0.037742408
TCGA-KN-8418-01,0.047693297
TCGA-KN-8419-01,0.052156406
TCGA-KN-8421-01,0.051605606
TCGA-KN-8422-01,0.035367519
TCGA-KN-8423-01,0.03330345
TCGA-KN-8424-01,0.032197794
TCGA-KN-8425-01,0.02692969
TCGA-KN-8426-01,0.035137649
TCGA-KN-8427-01,0.08474452
TCGA-KN-8428-01,0.056428412
TCGA-KN-8429-01,0.041026825
TCGA-KN-8430-01,0.04153272
TCGA-KN-8431-01,0.037093106
TCGA-KN-8432-01,0.03952637
TCGA-KN-8433-01,0.032353312
TCGA-KN-8434-01,0.027655865
TCGA-KN-8435-01,0.057507727
TCGA-KN-8436-01,0.054537187
TCGA-KN-8437-01,0.041499464
TCGA-KO-8403-01,0.035514643
TCGA-KO-8404-01,0.088210938
TCGA-KO-8405-01,0.02106776
TCGA-KO-8406-01,0.04579609
TCGA-KO-8407-01,0.029089563
TCGA-KO-8408-01,0.036563417
TCGA-KO-8409-01,0.040885676
TCGA-KO-8410-01,0.025422762
TCGA-KO-8411-01,0.045480745
TCGA-KO-8413-01,0.029996886
TCGA-KO-8414-01,0.044109703
TCGA-KO-8415-01,0.039289482
TCGA-KO-8416-01,0.038331852
TCGA-KO-8417-01,0.042532634
