Sample ID,MYTH score
TCGA-3Z-A93Z-01,0.016366906
TCGA-6D-AA2E-01,0.021722732
TCGA-A3-3357-01,0.026808035
TCGA-A3-3358-01,0.011206853
TCGA-A3-3367-01,0.021516345
TCGA-A3-3370-01,0.012096837
TCGA-A3-3373-01,0.018078772
TCGA-A3-3376-01,0.012695898
TCGA-A3-3385-01,0.052130642
TCGA-A3-3387-01,0.009049835
TCGA-A3-A6NI-01,0.018255685
TCGA-A3-A6NJ-01,0.013209298
TCGA-A3-A6NL-01,0.013583257
TCGA-A3-A6NN-01,0.015299797
TCGA-A3-A8CQ-01,0.020882685
TCGA-A3-A8OU-01,0.015398848
TCGA-A3-A8OV-01,0.026286775
TCGA-A3-A8OW-01,0.01628565
TCGA-A3-A8OX-01,0.014606635
TCGA-AK-3425-01,0.016162033
TCGA-AK-3428-01,0.020934116
TCGA-AK-3431-01,0.01358701
TCGA-AK-3433-01,0.083487329
TCGA-AK-3434-01,0.021178124
TCGA-AK-3440-01,0.082641956
TCGA-AK-3445-01,0.029734676
TCGA-AK-3450-01,0.018910006
TCGA-AK-3453-01,0.057332132
TCGA-AK-3454-01,0.020753254
TCGA-AK-3458-01,0.016789928
TCGA-AK-3460-01,0.015720046
TCGA-AK-3461-01,0.01511163
TCGA-B0-4688-01,0.073253343
TCGA-B0-4690-01,0.026507659
TCGA-B0-4691-01,0.025544988
TCGA-B0-4693-01,0.013513025
TCGA-B0-4694-01,0.013673871
TCGA-B0-4696-01,0.108169781
TCGA-B0-4697-01,0.032598646
TCGA-B0-4698-01,0.046756379
TCGA-B0-4699-01,0.04148798
TCGA-B0-4700-01,0.029238274
TCGA-B0-4701-01,0.011387343
TCGA-B0-4703-01,0.020742644
TCGA-B0-4706-01,0.015959782
TCGA-B0-4707-01,0.022220769
TCGA-B0-4710-01,0.022015645
TCGA-B0-4712-01,0.026376724
TCGA-B0-4713-01,0.017870977
TCGA-B0-4714-01,0.013996491
TCGA-B0-4718-01,0.03018709
TCGA-B0-4810-01,0.012797605
TCGA-B0-4811-01,0.016744027
TCGA-B0-4813-01,0.049128784
TCGA-B0-4814-01,0.020032331
TCGA-B0-4815-01,0.028577198
TCGA-B0-4816-01,0.012878846
TCGA-B0-4817-01,0.039460586
TCGA-B0-4818-01,0.010379684
TCGA-B0-4819-01,0.019042626
TCGA-B0-4821-01,0.028617951
TCGA-B0-4822-01,0.014010431
TCGA-B0-4823-01,0.01419545
TCGA-B0-4824-01,0.016746983
TCGA-B0-4827-01,0.017991085
TCGA-B0-4828-01,0.027514178
TCGA-B0-4841-01,0.020695589
TCGA-B0-4842-01,0.016729325
TCGA-B0-4843-01,0.018802801
TCGA-B0-4844-01,0.029368904
TCGA-B0-4845-01,0.029207802
TCGA-B0-4846-01,0.01351829
TCGA-B0-4847-01,0.018027183
TCGA-B0-4848-01,0.013032167
TCGA-B0-4849-01,0.01738471
TCGA-B0-4852-01,0.015704759
TCGA-B0-4945-01,0.012912438
TCGA-B0-5080-01,0.014515626
TCGA-B0-5083-01,0.036444278
TCGA-B0-5092-01,0.019373823
TCGA-B0-5094-01,0.034843975
