Sample ID,MYTH score
TCGA-2K-A9WE-01,0.030844792
TCGA-2Z-A9J1-01,0.050169839
TCGA-2Z-A9J2-01,0.029788965
TCGA-2Z-A9J3-01,0.041103736
TCGA-2Z-A9J5-01,0.014503341
TCGA-2Z-A9J6-01,0.019108437
TCGA-2Z-A9J7-01,0.041795766
TCGA-2Z-A9J8-01,0.041983791
TCGA-2Z-A9J9-01,0.072549348
TCGA-2Z-A9JD-01,0.026906325
TCGA-2Z-A9JE-01,0.035334756
TCGA-2Z-A9JG-01,0.032041129
TCGA-2Z-A9JI-01,0.034655236
TCGA-2Z-A9JJ-01,0.050764403
TCGA-2Z-A9JK-01,0.021704999
TCGA-2Z-A9JL-01,0.025399249
TCGA-2Z-A9JM-01,0.017748892
TCGA-2Z-A9JN-01,0.051237295
TCGA-2Z-A9JO-01,0.031575864
TCGA-2Z-A9JP-01,0.025623761
TCGA-2Z-A9JQ-01,0.021530534
TCGA-2Z-A9JR-01,0.012963957
TCGA-2Z-A9JS-01,0.022999293
TCGA-2Z-A9JT-01,0.014876202
TCGA-4A-A93W-01,0.0263641
TCGA-4A-A93X-01,0.075969578
TCGA-4A-A93Y-01,0.040934418
TCGA-5P-A9JU-01,0.05936977
TCGA-5P-A9JV-01,0.03344875
TCGA-5P-A9JW-01,0.018221406
TCGA-5P-A9JY-01,0.047977398
TCGA-5P-A9JZ-01,0.027685895
TCGA-5P-A9K0-01,0.027613281
TCGA-5P-A9K2-01,0.026102545
TCGA-5P-A9K3-01,0.061637993
TCGA-5P-A9K4-01,0.042374901
TCGA-5P-A9K6-01,0.01398403
TCGA-5P-A9K8-01,0.057499499
TCGA-5P-A9K9-01,0.055681906
TCGA-5P-A9KA-01,0.016232562
TCGA-5P-A9KC-01,0.03299981
TCGA-5P-A9KE-01,0.016893032
TCGA-5P-A9KF-01,0.026482807
TCGA-5P-A9KH-01,0.082746716
TCGA-A4-7286-01,0.019001673
TCGA-A4-7287-01,0.061287519
TCGA-A4-7288-01,0.04996936
TCGA-A4-7583-01,0.027812277
TCGA-A4-7584-01,0.025072481
TCGA-A4-7585-01,0.028036048
TCGA-A4-7732-01,0.023722566
TCGA-A4-7734-01,0.022925042
TCGA-A4-7828-01,0.043993353
TCGA-A4-7915-01,0.074442776
TCGA-A4-7996-01,0.02057846
TCGA-A4-7997-01,0.030447232
TCGA-A4-8098-01,0.04096541
