Sample ID,MYTH score
TCGA-AB-2802-03,0.02274008
TCGA-AB-2803-03,0.02704608
TCGA-AB-2804-03,0.024851698
TCGA-AB-2805-03,0.039992392
TCGA-AB-2806-03,0.060656653
TCGA-AB-2807-03,0.034760125
TCGA-AB-2808-03,0.02796214
TCGA-AB-2809-03,0.027442835
TCGA-AB-2810-03,0.053026626
TCGA-AB-2811-03,0.031518874
TCGA-AB-2812-03,0.042702256
TCGA-AB-2813-03,0.021264414
TCGA-AB-2814-03,0.038181138
TCGA-AB-2815-03,0.021207687
TCGA-AB-2816-03,0.026783364
TCGA-AB-2817-03,0.028237424
TCGA-AB-2818-03,0.022561554
TCGA-AB-2819-03,0.038686663
TCGA-AB-2820-03,0.02560665
TCGA-AB-2821-03,0.032686901
TCGA-AB-2822-03,0.043082639
TCGA-AB-2823-03,0.026580577
TCGA-AB-2824-03,0.017617022
TCGA-AB-2825-03,0.032336189
TCGA-AB-2826-03,0.032122318
TCGA-AB-2827-03,0.031564952
TCGA-AB-2828-03,0.025392993
TCGA-AB-2829-03,0.024976238
TCGA-AB-2830-03,0.013854561
TCGA-AB-2831-03,0.016170033
TCGA-AB-2832-03,0.048384867
TCGA-AB-2833-03,0.04096957
TCGA-AB-2834-03,0.031050349
TCGA-AB-2835-03,0.022776288
TCGA-AB-2836-03,0.019031531
TCGA-AB-2837-03,0.022023609
TCGA-AB-2838-03,0.020763671
TCGA-AB-2839-03,0.065004564
TCGA-AB-2840-03,0.026688326
TCGA-AB-2841-03,0.022792984
TCGA-AB-2842-03,0.02612011
TCGA-AB-2843-03,0.020118225
TCGA-AB-2844-03,0.03575348
TCGA-AB-2845-03,0.020750525
TCGA-AB-2846-03,0.023563491
TCGA-AB-2847-03,0.019090925
TCGA-AB-2848-03,0.02808093
TCGA-AB-2849-03,0.097547631
TCGA-AB-2851-03,0.018733979
TCGA-AB-2853-03,0.044904978
TCGA-AB-2854-03,0.017065651
TCGA-AB-2855-03,0.154508812
TCGA-AB-2856-03,0.034089613
TCGA-AB-2857-03,0.013904221
TCGA-AB-2858-03,0.01434816
TCGA-AB-2860-03,0.014287879
TCGA-AB-2861-03,0.045390937
TCGA-AB-2862-03,0.021904934
TCGA-AB-2863-03,0.041809177
TCGA-AB-2866-03,0.056997436
TCGA-AB-2867-03,0.020406027
TCGA-AB-2868-03,0.015867126
TCGA-AB-2869-03,0.019858037
TCGA-AB-2870-03,0.021015691
TCGA-AB-2871-03,0.010254778
TCGA-AB-2872-03,0.031457043
TCGA-AB-2873-03,0.022975296
TCGA-AB-2874-03,0.049242984
TCGA-AB-2875-03,0.018734614
TCGA-AB-2876-03,0.037998437
TCGA-AB-2877-03,0.073307983
TCGA-AB-2878-03,0.021956697
TCGA-AB-2879-03,0.035484514
TCGA-AB-2880-03,0.032389261
TCGA-AB-2881-03,0.019401011
TCGA-AB-2882-03,0.013702499
TCGA-AB-2883-03,0.038934428
TCGA-AB-2884-03,0.022763384
TCGA-AB-2885-03,0.028455438
TCGA-AB-2886-03,0.032036691
TCGA-AB-2887-03,0.042980459
TCGA-AB-2888-03,0.020136578
TCGA-AB-2889-03,0.025315144
TCGA-AB-2890-03,0.016218978
TCGA-AB-2891-03,0.044060149
TCGA-AB-2892-03,0.021356841
TCGA-AB-2893-03,0.029541655
TCGA-AB-2894-03,0.029970866
TCGA-AB-2895-03,0.032115834
TCGA-AB-2896-03,0.028931218
TCGA-AB-2897-03,0.026996412
TCGA-AB-2898-03,0.044818216
TCGA-AB-2899-03,0.028977508
TCGA-AB-2900-03,0.050460637
TCGA-AB-2901-03,0.03941829
TCGA-AB-2903-03,0.034090266
TCGA-AB-2904-03,0.022975646
TCGA-AB-2906-03,0.023410472
TCGA-AB-2907-03,0.022094677
TCGA-AB-2908-03,0.02098475
TCGA-AB-2909-03,0.039962844
TCGA-AB-2910-03,0.030810859
TCGA-AB-2911-03,0.024473714
TCGA-AB-2912-03,0.030186334
TCGA-AB-2913-03,0.054336815
TCGA-AB-2914-03,0.039304316
TCGA-AB-2915-03,0.01659434
TCGA-AB-2916-03,0.026643219
TCGA-AB-2917-03,0.019941112
TCGA-AB-2918-03,0.038045045
TCGA-AB-2919-03,0.048138927
TCGA-AB-2920-03,0.036214969
TCGA-AB-2921-03,0.032839112
TCGA-AB-2922-03,0.032883697
TCGA-AB-2923-03,0.024004741
TCGA-AB-2924-03,0.023344746
TCGA-AB-2925-03,0.034352477
TCGA-AB-2926-03,0.06784144
TCGA-AB-2927-03,0.020602137
TCGA-AB-2928-03,0.057106323
TCGA-AB-2929-03,0.021685557
TCGA-AB-2930-03,0.029399971
TCGA-AB-2931-03,0.034972885
TCGA-AB-2932-03,0.028382058
TCGA-AB-2933-03,0.024542605
TCGA-AB-2934-03,0.04475119
TCGA-AB-2935-03,0.013513555
TCGA-AB-2936-03,0.024192857
TCGA-AB-2937-03,0.02864468
TCGA-AB-2938-03,0.023178918
TCGA-AB-2939-03,0.034708222
TCGA-AB-2940-03,0.04575132
TCGA-AB-2941-03,0.02342283
TCGA-AB-2942-03,0.021781369
TCGA-AB-2943-03,0.015832265
TCGA-AB-2944-03,0.049554853
TCGA-AB-2945-03,0.017861145
TCGA-AB-2946-03,0.02807556
TCGA-AB-2947-03,0.036615439
TCGA-AB-2948-03,0.023911556
TCGA-AB-2949-03,0.02141932
TCGA-AB-2950-03,0.034767483
TCGA-AB-2952-03,0.021722617
TCGA-AB-2954-03,0.027590883
TCGA-AB-2955-03,0.035072033
TCGA-AB-2956-03,0.028005985
TCGA-AB-2957-03,0.025937285
TCGA-AB-2959-03,0.039521337
TCGA-AB-2963-03,0.023256955
TCGA-AB-2964-03,0.020431356
TCGA-AB-2965-03,0.028785514
TCGA-AB-2966-03,0.110405249
TCGA-AB-2967-03,0.034267541
TCGA-AB-2968-03,0.022534598
TCGA-AB-2969-03,0.024115025
TCGA-AB-2970-03,0.026221634
TCGA-AB-2971-03,0.024915644
TCGA-AB-2972-03,0.016089398
TCGA-AB-2973-03,0.025045749
TCGA-AB-2974-03,0.024960013
TCGA-AB-2975-03,0.035665112
TCGA-AB-2976-03,0.029231465
TCGA-AB-2977-03,0.05509735
TCGA-AB-2978-03,0.031777118
TCGA-AB-2979-03,0.029252397
TCGA-AB-2980-03,0.015705823
TCGA-AB-2981-03,0.034212277
TCGA-AB-2982-03,0.017974114
TCGA-AB-2983-03,0.017687472
TCGA-AB-2984-03,0.069008866
TCGA-AB-2985-03,0.021841249
TCGA-AB-2986-03,0.023441086
TCGA-AB-2987-03,0.022167918
TCGA-AB-2988-03,0.023038596
TCGA-AB-2989-03,0.04450141
TCGA-AB-2990-03,0.04962227
TCGA-AB-2991-03,0.021227342
TCGA-AB-2992-03,0.030297397
TCGA-AB-2993-03,0.027883973
TCGA-AB-2995-03,0.020361692
TCGA-AB-2996-03,0.024818759
TCGA-AB-2997-03,0.040722132
TCGA-AB-2998-03,0.029378647
TCGA-AB-2999-03,0.020992417
TCGA-AB-3000-03,0.041008953
TCGA-AB-3001-03,0.019080238
TCGA-AB-3002-03,0.042428295
TCGA-AB-3005-03,0.039751318
TCGA-AB-3006-03,0.018517119
TCGA-AB-3007-03,0.028818576
TCGA-AB-3008-03,0.059785324
TCGA-AB-3009-03,0.146670841
TCGA-AB-3011-03,0.02161016
TCGA-AB-3012-03,0.02364471
