Sample ID,MYTH score
TCGA-CS-4938-01,0.024862837
TCGA-CS-4941-01,0.054032293
TCGA-CS-4942-01,0.020654635
TCGA-CS-4943-01,0.033900633
TCGA-CS-4944-01,0.02233231
TCGA-CS-5390-01,0.036858774
TCGA-CS-5393-01,0.018687396
TCGA-CS-5394-01,0.050538033
TCGA-CS-5395-01,0.06418549
TCGA-CS-5396-01,0.0411664
TCGA-CS-5397-01,0.053875572
TCGA-CS-6186-01,0.069069065
TCGA-CS-6188-01,0.053326464
TCGA-CS-6290-01,0.016803732
TCGA-CS-6665-01,0.032848873
TCGA-CS-6666-01,0.03005588
TCGA-CS-6667-01,0.024741065
TCGA-CS-6668-01,0.046772188
TCGA-CS-6669-01,0.049632195
TCGA-CS-6670-01,0.023396292
TCGA-DB-5270-01,0.014393173
TCGA-DB-5273-01,0.016033303
TCGA-DB-5274-01,0.032193253
TCGA-DB-5275-01,0.026696943
TCGA-DB-5276-01,0.016427823
TCGA-DB-5277-01,0.040100271
TCGA-DB-5278-01,0.019848423
TCGA-DB-5279-01,0.039576729
TCGA-DB-5280-01,0.028088639
TCGA-DB-5281-01,0.032611492
TCGA-DB-A4X9-01,0.028186658
TCGA-DB-A4XA-01,0.015184278
TCGA-DB-A4XB-01,0.027265751
TCGA-DB-A4XC-01,0.016436868
TCGA-DB-A4XD-01,0.021891811
TCGA-DB-A4XE-01,0.026571023
TCGA-DB-A4XF-01,0.036286405
TCGA-DB-A4XG-01,0.036279315
TCGA-DB-A4XH-01,0.041244387
TCGA-DB-A64L-01,0.030254052
TCGA-DB-A64O-01,0.055060499
TCGA-DB-A64P-01,0.030975078
TCGA-DB-A64Q-01,0.031138723
TCGA-DB-A64R-01,0.03250263
TCGA-DB-A64S-01,0.030996284
TCGA-DB-A64U-01,0.016702299
TCGA-DB-A64V-01,0.013317732
TCGA-DB-A64W-01,0.057228772
TCGA-DB-A64X-01,0.028964876
TCGA-DB-A75K-01,0.032869669
TCGA-DB-A75L-01,0.025345907
TCGA-DB-A75M-01,0.022816846
TCGA-DB-A75O-01,0.018266918
TCGA-DB-A75P-01,0.050316142
TCGA-DH-5140-01,0.094603711
TCGA-DH-5141-01,0.026252324
TCGA-DH-5142-01,0.024002475
TCGA-DH-5143-01,0.017329989
TCGA-DH-5144-01,0.039464494
TCGA-DH-A669-01,0.058444012
TCGA-DH-A669-02,0.058536224
TCGA-DH-A66B-01,0.032561054
TCGA-DH-A66D-01,0.024768411
TCGA-DH-A66F-01,0.029336871
TCGA-DH-A66G-01,0.019459749
TCGA-DH-A7UR-01,0.037920976
TCGA-DH-A7US-01,0.016295812
TCGA-DH-A7UT-01,0.019792683
TCGA-DH-A7UU-01,0.0310263
TCGA-DH-A7UV-01,0.035246894
TCGA-DU-5847-01,0.064305541
TCGA-DU-5849-01,0.018642382
TCGA-DU-5851-01,0.015042266
TCGA-DU-5852-01,0.069712492
TCGA-DU-5853-01,0.04716202
TCGA-DU-5854-01,0.046583166
TCGA-DU-5855-01,0.02157977
TCGA-DU-5870-01,0.019780478
TCGA-DU-5870-02,0.048092722
TCGA-DU-5871-01,0.024910473
TCGA-DU-5872-01,0.030204751
TCGA-DU-5872-02,0.045905677
TCGA-DU-5874-01,0.064484627
TCGA-DU-6392-01,0.06079815
TCGA-DU-6393-01,0.055531313
TCGA-DU-6394-01,0.044095192
TCGA-DU-6395-01,0.027028569
TCGA-DU-6396-01,0.028202165
TCGA-DU-6397-01,0.018224882
TCGA-DU-6397-02,0.042736481
TCGA-DU-6399-01,0.026045767
TCGA-DU-6400-01,0.046137911
TCGA-DU-6401-01,0.046729579
TCGA-DU-6402-01,0.059404084
TCGA-DU-6403-01,0.066913461
TCGA-DU-6404-01,0.060262612
TCGA-DU-6404-02,0.102878262
TCGA-DU-6405-01,0.076636454
TCGA-DU-6406-01,0.075670129
TCGA-DU-6407-01,0.030389044
TCGA-DU-6407-02,0.057074623
TCGA-DU-6408-01,0.020491648
TCGA-DU-6410-01,0.057405677
TCGA-DU-6542-01,0.026294199
TCGA-DU-7006-01,0.050208726
TCGA-DU-7007-01,0.028039303
TCGA-DU-7008-01,0.040065424
TCGA-DU-7009-01,0.026336591
TCGA-DU-7010-01,0.046430537
TCGA-DU-7011-01,0.016730461
TCGA-DU-7012-01,0.051913738
TCGA-DU-7013-01,0.067772504
TCGA-DU-7014-01,0.026910179
TCGA-DU-7015-01,0.024564686
TCGA-DU-7018-01,0.034030234
TCGA-DU-7019-01,0.019367526
TCGA-DU-7290-01,0.059928536
TCGA-DU-7292-01,0.053293249
TCGA-DU-7294-01,0.028914081
TCGA-DU-7298-01,0.022191153
TCGA-DU-7299-01,0.025757947
TCGA-DU-7300-01,0.021977108
TCGA-DU-7301-01,0.034573052
TCGA-DU-7302-01,0.029657833
