Sample ID,MYTH score
TCGA-2V-A95S-01,0.02742082
TCGA-2Y-A9GS-01,0.02492198
TCGA-2Y-A9GT-01,0.028715833
TCGA-2Y-A9GU-01,0.048368279
TCGA-2Y-A9GV-01,0.022403353
TCGA-2Y-A9GW-01,0.018385927
TCGA-2Y-A9GX-01,0.016447389
TCGA-2Y-A9GY-01,0.041765292
TCGA-2Y-A9GZ-01,0.058878938
TCGA-2Y-A9H0-01,0.041507702
TCGA-2Y-A9H1-01,0.026102141
TCGA-2Y-A9H2-01,0.049549923
TCGA-2Y-A9H3-01,0.027955951
TCGA-2Y-A9H4-01,0.038341063
TCGA-2Y-A9H5-01,0.029701865
TCGA-2Y-A9H6-01,0.038137528
TCGA-2Y-A9H7-01,0.049814089
TCGA-2Y-A9H8-01,0.043230987
TCGA-2Y-A9H9-01,0.042414672
TCGA-2Y-A9HA-01,0.040995757
TCGA-2Y-A9HB-01,0.029587892
TCGA-3K-AAZ8-01,0.041401366
TCGA-4R-AA8I-01,0.033398345
TCGA-5C-A9VG-01,0.037117727
TCGA-5C-A9VH-01,0.02951633
TCGA-5C-AAPD-01,0.027825017
TCGA-5R-AA1C-01,0.046283865
TCGA-5R-AA1D-01,0.029139835
TCGA-5R-AAAM-01,0.020731595
TCGA-BC-4072-01,0.037559852
TCGA-BC-4073-01,0.03113328
TCGA-BC-A10Q-01,0.105387598
TCGA-BC-A10R-01,0.036905225
TCGA-BC-A10S-01,0.028096377
TCGA-BC-A10T-01,0.038157982
TCGA-BC-A10U-01,0.041534211
TCGA-BC-A10W-01,0.038919486
TCGA-BC-A10X-01,0.021161809
TCGA-BC-A10Y-01,0.056542185
TCGA-BC-A10Z-01,0.067785478
TCGA-BC-A110-01,0.017329726
TCGA-BC-A112-01,0.054426565
TCGA-BC-A216-01,0.039836327
TCGA-BC-A217-01,0.04791268
TCGA-BC-A3KF-01,0.035313726
TCGA-BC-A3KG-01,0.05154148
TCGA-BC-A5W4-01,0.0613053
TCGA-BC-A69H-01,0.041474777
TCGA-BC-A69I-01,0.037418357
TCGA-BC-A8YO-01,0.048336796
TCGA-BD-A2L6-01,0.041360817
TCGA-BD-A3EP-01,0.018094506
TCGA-BD-A3ER-01,0.018502419
TCGA-BW-A5NO-01,0.037976506
TCGA-BW-A5NP-01,0.066385015
TCGA-BW-A5NQ-01,0.02734006
TCGA-CC-5258-01,0.041391042
TCGA-CC-5259-01,0.045439164
TCGA-CC-5260-01,0.065940534
TCGA-CC-5261-01,0.033232073
TCGA-CC-5262-01,0.017089747
TCGA-CC-5263-01,0.0424545
TCGA-CC-5264-01,0.05703985
TCGA-CC-A123-01,0.036549803
TCGA-CC-A1HT-01,0.038189496
TCGA-CC-A3M9-01,0.049097038
TCGA-CC-A3MA-01,0.067719415
TCGA-CC-A3MB-01,0.036793978
TCGA-CC-A3MC-01,0.031414963
TCGA-CC-A5UC-01,0.022795656
TCGA-CC-A5UD-01,0.053160411
TCGA-CC-A5UE-01,0.032926422
TCGA-CC-A7IE-01,0.032856873
TCGA-CC-A7IF-01,0.041921437
TCGA-CC-A7IG-01,0.034172848
TCGA-CC-A7IH-01,0.045578486
TCGA-CC-A7II-01,0.059314292
TCGA-CC-A7IJ-01,0.052621507
TCGA-CC-A7IK-01,0.065030707
TCGA-CC-A7IL-01,0.113831085
TCGA-CC-A8HS-01,0.049574254
TCGA-CC-A8HT-01,0.030212066
TCGA-CC-A8HU-01,0.046738776
TCGA-CC-A8HV-01,0.04435661
TCGA-CC-A9FS-01,0.046092237
TCGA-CC-A9FU-01,0.055004693
TCGA-CC-A9FV-01,0.053939248
TCGA-CC-A9FW-01,0.0379814
TCGA-DD-A113-01,0.052785064
TCGA-DD-A114-01,0.025863207
TCGA-DD-A115-01,0.035200681
TCGA-DD-A116-01,0.036327021
TCGA-DD-A118-01,0.043087686
TCGA-DD-A119-01,0.028889068
TCGA-DD-A11A-01,0.06486196
TCGA-DD-A11B-01,0.052125348
TCGA-DD-A11C-01,0.061586183
TCGA-DD-A11D-01,0.035509421
TCGA-DD-A1E9-01,0.01663418
TCGA-DD-A1EA-01,0.042999646
TCGA-DD-A1EB-01,0.054936359
TCGA-DD-A1EC-01,0.051802154
TCGA-DD-A1ED-01,0.022722284
TCGA-DD-A1EE-01,0.059210981
TCGA-DD-A1EF-01,0.048558181
TCGA-DD-A1EG-01,0.017919842
TCGA-DD-A1EH-01,0.066605731
TCGA-DD-A1EI-01,0.017568033
TCGA-DD-A1EJ-01,0.044303837
TCGA-DD-A1EK-01,0.041082837
TCGA-DD-A1EL-01,0.042141743
TCGA-DD-A39V-01,0.028950898
TCGA-DD-A39W-01,0.06456655
TCGA-DD-A39X-01,0.031509195
TCGA-DD-A39Y-01,0.047585272
TCGA-DD-A39Z-01,0.046741372
TCGA-DD-A3A0-01,0.027753381
TCGA-DD-A3A1-01,0.039372312
TCGA-DD-A3A2-01,0.053423851
TCGA-DD-A3A3-01,0.050743133
TCGA-DD-A3A4-01,0.050140075
TCGA-DD-A3A5-01,0.043272584
TCGA-DD-A3A6-01,0.055039343
TCGA-DD-A3A7-01,0.071824777
TCGA-DD-A3A8-01,0.043459018
TCGA-DD-A3A9-01,0.053705443
TCGA-DD-A4NA-01,0.080419895
TCGA-DD-A4NB-01,0.027076663
TCGA-DD-A4ND-01,0.017117367
TCGA-DD-A4NE-01,0.064627184
TCGA-DD-A4NF-01,0.045283994
TCGA-DD-A4NG-01,0.039730854
TCGA-DD-A4NH-01,0.043381717
TCGA-DD-A4NI-01,0.024378449
TCGA-DD-A4NJ-01,0.021656644
TCGA-DD-A4NK-01,0.035890475
TCGA-DD-A4NL-01,0.023511126
TCGA-DD-A4NN-01,0.058679387
TCGA-DD-A4NO-01,0.024181311
TCGA-DD-A4NP-01,0.028520941
TCGA-DD-A4NQ-01,0.0323667
TCGA-DD-A4NR-01,0.024403115
TCGA-DD-A4NS-01,0.014572258
TCGA-DD-A4NV-01,0.023059751
TCGA-DD-A73A-01,0.026163733
TCGA-DD-A73B-01,0.048812534
TCGA-DD-A73C-01,0.038037114
TCGA-DD-A73D-01,0.070948305
TCGA-DD-A73E-01,0.058020259
TCGA-DD-A73F-01,0.022566064
TCGA-DD-A73G-01,0.047384239
TCGA-DD-AA3A-01,0.065858401
TCGA-DD-AAC8-01,0.051895927
TCGA-DD-AAC9-01,0.018955171
TCGA-DD-AACA-01,0.051553546
TCGA-DD-AACA-02,0.085185054
TCGA-DD-AACB-01,0.036384206
TCGA-DD-AACC-01,0.026958219
TCGA-DD-AACD-01,0.038877368
TCGA-DD-AACE-01,0.046919029
TCGA-DD-AACF-01,0.049008755
TCGA-DD-AACG-01,0.042484633
TCGA-DD-AACH-01,0.047924968
TCGA-DD-AACI-01,0.025631608
TCGA-DD-AACJ-01,0.055541385
TCGA-DD-AACK-01,0.049629527
TCGA-DD-AACL-01,0.035325064
TCGA-DD-AACM-01,0.025186559
TCGA-DD-AACN-01,0.046593668
TCGA-DD-AACO-01,0.033317317
TCGA-DD-AACP-01,0.040692636
TCGA-DD-AACQ-01,0.0410566
TCGA-DD-AACS-01,0.058184751
TCGA-DD-AACT-01,0.025300267
TCGA-DD-AACU-01,0.023667219
TCGA-DD-AACV-01,0.066965314
TCGA-DD-AACW-01,0.042493669
TCGA-DD-AACX-01,0.059797713
TCGA-DD-AACY-01,0.040797756
TCGA-DD-AACZ-01,0.038284353
TCGA-DD-AAD0-01,0.068749867
TCGA-DD-AAD1-01,0.031200287
TCGA-DD-AAD2-01,0.026851606
TCGA-DD-AAD3-01,0.018408489
TCGA-DD-AAD5-01,0.042058644
TCGA-DD-AAD6-01,0.053702023
TCGA-DD-AAD8-01,0.064992934
TCGA-DD-AADA-01,0.047438222
TCGA-DD-AADB-01,0.028638073
TCGA-DD-AADC-01,0.028009982
TCGA-DD-AADD-01,0.063882924
TCGA-DD-AADE-01,0.036686459
TCGA-DD-AADF-01,0.055888515
TCGA-DD-AADG-01,0.051921429
TCGA-DD-AADI-01,0.03810503
TCGA-DD-AADJ-01,0.040250702
TCGA-DD-AADK-01,0.026002129
TCGA-DD-AADL-01,0.03008991
TCGA-DD-AADM-01,0.032600265
TCGA-DD-AADN-01,0.03727168
TCGA-DD-AADO-01,0.038198046
TCGA-DD-AADP-01,0.028864887
TCGA-DD-AADQ-01,0.040029893
TCGA-DD-AADR-01,0.027414103
TCGA-DD-AADS-01,0.033280946
TCGA-DD-AADU-01,0.041651181
TCGA-DD-AADV-01,0.036517177
TCGA-DD-AADW-01,0.053389326
TCGA-DD-AADY-01,0.069989766
TCGA-DD-AAE0-01,0.051488358
TCGA-DD-AAE1-01,0.044345468
TCGA-DD-AAE2-01,0.045954499
TCGA-DD-AAE3-01,0.042944419
TCGA-DD-AAE4-01,0.04706513
