Sample ID,MYTH score
TCGA-05-4384-01,0.014073889
TCGA-05-4390-01,0.025188564
TCGA-05-4396-01,0.036340334
TCGA-05-4405-01,0.019911985
TCGA-05-4410-01,0.014760765
TCGA-05-4415-01,0.03153592
TCGA-05-4417-01,0.013150887
TCGA-05-4424-01,0.012025385
TCGA-05-4425-01,0.035819989
TCGA-05-4427-01,0.031962863
TCGA-05-4433-01,0.018389033
TCGA-05-5420-01,0.012803806
TCGA-05-5423-01,0.019573831
TCGA-05-5425-01,0.010422527
TCGA-05-5428-01,0.029712952
TCGA-05-5429-01,0.032234966
TCGA-05-5715-01,0.029120354
TCGA-35-5375-01,0.036386499
TCGA-38-4631-01,0.026806619
TCGA-38-4632-01,0.019258118
TCGA-38-6178-01,0.010351229
TCGA-38-7271-01,0.011225448
TCGA-38-A44F-01,0.009367991
TCGA-44-2656-01,0.018851426
TCGA-44-2665-01,0.016612376
TCGA-44-2666-01,0.018508166
TCGA-44-2668-01,0.012465397
TCGA-44-3917-01,0.019726348
TCGA-44-3918-01,0.012209683
TCGA-44-4112-01,0.016065188
TCGA-44-5643-01,0.022459797
TCGA-44-5644-01,0.04839084
TCGA-44-5645-01,0.015344871
TCGA-44-6144-01,0.015909378
TCGA-44-6145-01,0.01041216
TCGA-44-6146-01,0.036521178
TCGA-44-6147-01,0.010118597
TCGA-44-6148-01,0.020802205
TCGA-44-6774-01,0.009299926
TCGA-44-6775-01,0.0093772
TCGA-44-6776-01,0.020021978
TCGA-44-6777-01,0.009066542
TCGA-44-6778-01,0.017656496
TCGA-44-6779-01,0.023707136
TCGA-44-7659-01,0.02549623
TCGA-44-7660-01,0.031642958
TCGA-44-7661-01,0.01083611
TCGA-44-7662-01,0.01289539
TCGA-44-7667-01,0.027139885
TCGA-44-7669-01,0.027974475
TCGA-44-7670-01,0.027154789
TCGA-44-7671-01,0.021640719
TCGA-44-7672-01,0.012668405
TCGA-44-8117-01,0.043409848
TCGA-44-8119-01,0.053900076
TCGA-44-8120-01,0.015812846
TCGA-44-A479-01,0.011702793
TCGA-44-A47A-01,0.021916246
TCGA-44-A47B-01,0.024891499
TCGA-44-A47F-01,0.021210493
TCGA-44-A47G-01,0.010660401
TCGA-44-A4SS-01,0.012172408
TCGA-44-A4SU-01,0.010610167
TCGA-49-4487-01,0.009580838
TCGA-49-4488-01,0.022851667
TCGA-49-4490-01,0.011659372
TCGA-49-4512-01,0.014148624
TCGA-49-4514-01,0.009615825
TCGA-49-6742-01,0.023694594
TCGA-49-6743-01,0.011919099
TCGA-49-6744-01,0.008345255
TCGA-49-6745-01,0.017317023
TCGA-49-6761-01,0.013014384
TCGA-49-6767-01,0.022087198
TCGA-49-AAQV-01,0.009297477
TCGA-49-AAR0-01,0.010370107
TCGA-49-AAR2-01,0.043495631
TCGA-49-AAR3-01,0.01334126
TCGA-49-AAR4-01,0.01496552
TCGA-49-AAR9-01,0.038752744
TCGA-49-AARE-01,0.021962118
TCGA-49-AARN-01,0.015047477
TCGA-49-AARO-01,0.015184201
TCGA-49-AARQ-01,0.025676836
TCGA-49-AARR-01,0.014634992
TCGA-4B-A93V-01,0.029867514
TCGA-50-5044-01,0.009673533
TCGA-50-5045-01,0.008593269
TCGA-50-5049-01,0.010824844
TCGA-50-5051-01,0.025040486
TCGA-50-5055-01,0.011971735
TCGA-50-5066-01,0.01135056
TCGA-50-5066-02,0.016226895
TCGA-50-5068-01,0.009130651
TCGA-50-5072-01,0.012249695
TCGA-50-5930-01,0.013277475
TCGA-50-5931-01,0.036324074
TCGA-50-5932-01,0.030994129
TCGA-50-5933-01,0.022355157
TCGA-50-5935-01,0.019101787
TCGA-50-5936-01,0.019223206
TCGA-50-5939-01,0.012690888
TCGA-50-5941-01,0.008176597
TCGA-50-5942-01,0.020526779
TCGA-50-5944-01,0.022400356
TCGA-50-5946-01,0.02513323
TCGA-50-5946-02,0.054131035
TCGA-50-6590-01,0.017040305
TCGA-50-6591-01,0.041043134
TCGA-50-6592-01,0.016409537
TCGA-50-6593-01,0.009616244
TCGA-50-6594-01,0.031217524
TCGA-50-6595-01,0.012189889
TCGA-50-6597-01,0.018151542
TCGA-50-6673-01,0.015457646
TCGA-50-7109-01,0.016538735
TCGA-50-8457-01,0.009506711
TCGA-50-8459-01,0.011062862
TCGA-50-8460-01,0.012963349
TCGA-53-7624-01,0.031795547
TCGA-53-7626-01,0.008368336
TCGA-53-7813-01,0.012569307
TCGA-53-A4EZ-01,0.019346301
TCGA-55-5899-01,0.03379122
TCGA-55-6543-01,0.023005826
TCGA-55-6642-01,0.010529964
TCGA-55-6712-01,0.015060821
TCGA-55-6968-01,0.020323113
TCGA-55-6969-01,0.015252635
TCGA-55-6970-01,0.01201648
TCGA-55-6971-01,0.009402654
TCGA-55-6972-01,0.043627355
TCGA-55-6975-01,0.022074237
TCGA-55-6978-01,0.017141138
TCGA-55-6979-01,0.0098373
TCGA-55-6980-01,0.010451725
TCGA-55-6981-01,0.008381653
TCGA-55-6982-01,0.009094198
TCGA-55-6983-01,0.010709582
TCGA-55-6984-01,0.015658363
TCGA-55-6985-01,0.008004573
TCGA-55-6986-01,0.011257024
TCGA-55-6987-01,0.010742643
TCGA-55-7227-01,0.019562828
TCGA-55-7281-01,0.014377759
TCGA-55-7283-01,0.027664918
TCGA-55-7284-01,0.018724109
TCGA-55-7570-01,0.024336924
TCGA-55-7573-01,0.012016666
TCGA-55-7574-01,0.008893007
TCGA-55-7576-01,0.022351268
TCGA-55-7724-01,0.00786153
TCGA-55-7725-01,0.017905786
TCGA-55-7726-01,0.018004611
TCGA-55-7727-01,0.012750317
TCGA-55-7728-01,0.013359455
TCGA-55-7815-01,0.010314225
TCGA-55-7816-01,0.014889672
TCGA-55-7903-01,0.027295788
TCGA-55-7907-01,0.02092687
TCGA-55-7910-01,0.023524544
TCGA-55-7911-01,0.019686401
TCGA-55-7913-01,0.02208721
TCGA-55-7914-01,0.020349104
TCGA-55-7994-01,0.043953941
TCGA-55-7995-01,0.019562225
TCGA-55-8085-01,0.015556047
TCGA-55-8087-01,0.033070384
TCGA-55-8089-01,0.013571922
TCGA-55-8090-01,0.025111137
TCGA-55-8091-01,0.015080731
TCGA-55-8092-01,0.026289602
TCGA-55-8094-01,0.05600841
TCGA-55-8096-01,0.009979732
TCGA-55-8097-01,0.019346661
TCGA-55-8203-01,0.013544789
TCGA-55-8204-01,0.016359149
TCGA-55-8205-01,0.017343288
TCGA-55-8206-01,0.017041175
TCGA-55-8207-01,0.02264983
TCGA-55-8208-01,0.010155115
TCGA-55-8299-01,0.009103129
TCGA-55-8301-01,0.009774491
TCGA-55-8302-01,0.013485244
TCGA-55-8505-01,0.010729205
TCGA-55-8506-01,0.035783301
TCGA-55-8507-01,0.027785417
TCGA-55-8508-01,0.013901749
TCGA-55-8510-01,0.010306283
TCGA-55-8511-01,0.021809269
TCGA-55-8512-01,0.013724372
TCGA-55-8513-01,0.009963897
TCGA-55-8514-01,0.02944865
TCGA-55-8614-01,0.018997925
TCGA-55-8615-01,0.028771789
TCGA-55-8616-01,0.021597478
TCGA-55-8619-01,0.010559287
TCGA-55-8620-01,0.035867868
TCGA-55-8621-01,0.007970446
TCGA-55-A48X-01,0.008666736
TCGA-55-A48Y-01,0.011015315
TCGA-55-A48Z-01,0.011355938
TCGA-55-A490-01,0.03080291
TCGA-55-A491-01,0.014173643
TCGA-55-A492-01,0.017545433
TCGA-55-A493-01,0.014624525
TCGA-55-A494-01,0.042064359
TCGA-55-A4DF-01,0.018549447
TCGA-55-A4DG-01,0.021276916
TCGA-55-A57B-01,0.020057667
TCGA-62-8394-01,0.015900604
TCGA-62-8395-01,0.018694781
TCGA-62-8397-01,0.029792419
TCGA-62-8398-01,0.021349349
TCGA-62-8399-01,0.025498925
TCGA-62-8402-01,0.023251343
TCGA-62-A46O-01,0.037489497
TCGA-62-A46P-01,0.031738592
TCGA-62-A46R-01,0.029875401
TCGA-62-A46S-01,0.014617776
TCGA-62-A46U-01,0.019123597
TCGA-62-A46V-01,0.025773127
TCGA-62-A46Y-01,0.012568745
TCGA-62-A470-01,0.028917437
TCGA-62-A471-01,0.018171782
TCGA-62-A472-01,0.024808415
TCGA-64-1679-01,0.015950339
TCGA-64-1681-01,0.011821425
TCGA-64-5774-01,0.035423495
TCGA-64-5775-01,0.046679863
TCGA-64-5778-01,0.012214829
TCGA-64-5779-01,0.021534036
TCGA-64-5781-01,0.020749936
TCGA-64-5815-01,0.011444851
TCGA-67-4679-01,0.042591267
TCGA-67-6215-01,0.026161134
TCGA-67-6216-01,0.017184089
TCGA-67-6217-01,0.009178543
TCGA-69-7760-01,0.033065975
TCGA-69-7761-01,0.012943577
TCGA-69-7763-01,0.010852036
TCGA-69-7764-01,0.021191024
TCGA-69-7765-01,0.01424737
TCGA-69-7973-01,0.019083798
TCGA-69-7974-01,0.021182795
TCGA-69-7978-01,0.014382109
TCGA-69-7979-01,0.029857933
TCGA-69-7980-01,0.021272902
TCGA-69-8253-01,0.013406585
TCGA-69-8254-01,0.013842966
TCGA-69-8255-01,0.02040631
TCGA-69-8453-01,0.011227862
TCGA-69-A59K-01,0.025588356
TCGA-71-6725-01,0.025111113
TCGA-71-8520-01,0.025344572
TCGA-73-4658-01,0.017784769
TCGA-73-4676-01,0.024025934
TCGA-73-7498-01,0.014065284
TCGA-73-7499-01,0.013339669
TCGA-73-A9RS-01,0.028103702
TCGA-75-5122-01,0.018956184
TCGA-75-5125-01,0.019410677
TCGA-75-5126-01,0.014648965
TCGA-75-5146-01,0.011095561
TCGA-75-5147-01,0.012712538
TCGA-75-6203-01,0.013231592
TCGA-75-6205-01,0.014113182
TCGA-75-6206-01,0.026813661
TCGA-75-6207-01,0.042363413
TCGA-75-6211-01,0.022241158
TCGA-75-6212-01,0.014137432
TCGA-75-6214-01,0.025430182
TCGA-75-7025-01,0.012570143
TCGA-75-7027-01,0.028505903
TCGA-75-7030-01,0.006973399
TCGA-75-7031-01,0.02004726
TCGA-78-7143-01,0.016074113
TCGA-78-7145-01,0.026908501
TCGA-78-7146-01,0.030002902
TCGA-78-7147-01,0.019975778
TCGA-78-7148-01,0.019168712
TCGA-78-7149-01,0.021954314
TCGA-78-7150-01,0.021730564
TCGA-78-7152-01,0.015613283
TCGA-78-7153-01,0.02795019
TCGA-78-7154-01,0.030861069
TCGA-78-7155-01,0.049902983
TCGA-78-7156-01,0.031748001
TCGA-78-7158-01,0.039826082
TCGA-78-7159-01,0.017225146
TCGA-78-7160-01,0.007678668
TCGA-78-7161-01,0.038741132
TCGA-78-7162-01,0.008463966
TCGA-78-7163-01,0.028963695
TCGA-78-7166-01,0.015288593
TCGA-78-7167-01,0.039297433
TCGA-78-7220-01,0.026546637
TCGA-78-7535-01,0.027431458
TCGA-78-7536-01,0.040037457
TCGA-78-7537-01,0.025706573
TCGA-78-7539-01,0.020082527
TCGA-78-7540-01,0.025385265
TCGA-78-7542-01,0.022341965
TCGA-78-7633-01,0.028659776
TCGA-78-8640-01,0.015931868
TCGA-78-8648-01,0.012263684
TCGA-78-8655-01,0.022079497
TCGA-78-8660-01,0.013955412
TCGA-78-8662-01,0.043014306
TCGA-80-5607-01,0.016731137
TCGA-80-5608-01,0.013721742
TCGA-80-5611-01,0.02122566
TCGA-83-5908-01,0.01352958
TCGA-86-6562-01,0.020318901
TCGA-86-6851-01,0.014421443
TCGA-86-7701-01,0.016368126
TCGA-86-7711-01,0.019711868
TCGA-86-7713-01,0.024012574
TCGA-86-7714-01,0.022629126
TCGA-86-7953-01,0.014236994
TCGA-86-7954-01,0.013775593
TCGA-86-7955-01,0.039859659
TCGA-86-8054-01,0.035642103
TCGA-86-8055-01,0.011452632
TCGA-86-8056-01,0.016794069
TCGA-86-8073-01,0.014942975
TCGA-86-8074-01,0.01994643
TCGA-86-8075-01,0.014576439
TCGA-86-8076-01,0.009276077
TCGA-86-8278-01,0.016644003
TCGA-86-8279-01,0.024945247
TCGA-86-8280-01,0.009547265
TCGA-86-8281-01,0.011738096
TCGA-86-8358-01,0.036895122
TCGA-86-8359-01,0.014841821
TCGA-86-8585-01,0.013639099
TCGA-86-8668-01,0.014480881
TCGA-86-8669-01,0.024591816
TCGA-86-8671-01,0.01055764
TCGA-86-8672-01,0.01735133
TCGA-86-8673-01,0.016766771
TCGA-86-8674-01,0.01628855
TCGA-86-A456-01,0.012611419
TCGA-86-A4D0-01,0.031622036
TCGA-86-A4JF-01,0.013881762
TCGA-86-A4P7-01,0.008470926
TCGA-86-A4P8-01,0.01268429
TCGA-91-6828-01,0.017123227
TCGA-91-6829-01,0.018364072
TCGA-91-6830-01,0.0086525
TCGA-91-6831-01,0.021301298
TCGA-91-6835-01,0.011701359
TCGA-91-6836-01,0.034946642
TCGA-91-6840-01,0.030252486
TCGA-91-6847-01,0.04688206
TCGA-91-6848-01,0.02310506
TCGA-91-6849-01,0.020281993
TCGA-91-7771-01,0.013432342
TCGA-91-8496-01,0.017355292
TCGA-91-8497-01,0.009550938
TCGA-91-8499-01,0.047273376
TCGA-91-A4BC-01,0.01107966
TCGA-91-A4BD-01,0.014862555
TCGA-93-7347-01,0.008798558
TCGA-93-7348-01,0.007529333
TCGA-93-8067-01,0.018801881
TCGA-93-A4JN-01,0.013252561
TCGA-93-A4JO-01,0.009356558
TCGA-93-A4JP-01,0.012111368
TCGA-93-A4JQ-01,0.009376343
TCGA-95-7039-01,0.034034178
TCGA-95-7043-01,0.048163455
TCGA-95-7562-01,0.026543964
TCGA-95-7567-01,0.031559917
TCGA-95-7944-01,0.017924198
TCGA-95-7947-01,0.03014925
TCGA-95-7948-01,0.034209385
TCGA-95-8039-01,0.015195435
TCGA-95-8494-01,0.032672812
TCGA-95-A4VK-01,0.01243466
