Sample ID,MYTH score
TCGA-18-3417-01,0.018012908
TCGA-18-4721-01,0.017952077
TCGA-18-5592-01,0.037895495
TCGA-18-5595-01,0.05545361
TCGA-21-5782-01,0.017209093
TCGA-21-5783-01,0.028237841
TCGA-21-5784-01,0.01225246
TCGA-21-5786-01,0.024311096
TCGA-21-5787-01,0.034434276
TCGA-21-A5DI-01,0.01279082
TCGA-22-4593-01,0.03854909
TCGA-22-4599-01,0.021103905
TCGA-22-4601-01,0.032260512
TCGA-22-4605-01,0.00748282
TCGA-22-4609-01,0.011108495
TCGA-22-4613-01,0.01758739
TCGA-22-5471-01,0.014975422
TCGA-22-5472-01,0.024934731
TCGA-22-5473-01,0.032168753
TCGA-22-5474-01,0.014311052
TCGA-22-5477-01,0.045188225
TCGA-22-5478-01,0.022616163
TCGA-22-5479-01,0.013963219
TCGA-22-5480-01,0.034811698
TCGA-22-5481-01,0.043654884
TCGA-22-5482-01,0.023442957
TCGA-22-5483-01,0.040082347
TCGA-22-5485-01,0.029920865
TCGA-22-5489-01,0.017426514
TCGA-22-5491-01,0.026162802
TCGA-22-5492-01,0.01955335
TCGA-22-A5C4-01,0.03020241
TCGA-33-4566-01,0.046096598
TCGA-33-4582-01,0.019157973
TCGA-33-4583-01,0.029513276
TCGA-33-4586-01,0.021743814
TCGA-33-4587-01,0.060289376
TCGA-33-4589-01,0.02185288
TCGA-33-6737-01,0.031640691
TCGA-33-6738-01,0.022566528
TCGA-33-A4WN-01,0.010431578
TCGA-33-A5GW-01,0.033710561
TCGA-33-AAS8-01,0.024680885
TCGA-33-AASB-01,0.028174495
TCGA-33-AASD-01,0.040218157
TCGA-33-AASI-01,0.022529043
TCGA-33-AASJ-01,0.037694504
TCGA-33-AASL-01,0.018206763
TCGA-34-5231-01,0.055154714
TCGA-34-5232-01,0.019188525
TCGA-34-5234-01,0.01897261
TCGA-34-5236-01,0.014302076
TCGA-34-5239-01,0.025377332
TCGA-34-5240-01,0.039442268
TCGA-34-5241-01,0.014051204
TCGA-34-5927-01,0.081219012
TCGA-34-5928-01,0.017955419
TCGA-34-5929-01,0.056821072
TCGA-34-7107-01,0.028811269
TCGA-34-8454-01,0.016062311
TCGA-34-8455-01,0.022267599
TCGA-34-8456-01,0.026284567
TCGA-34-A5IX-01,0.022230063
TCGA-37-5819-01,0.058435808
TCGA-37-A5EL-01,0.061954541
TCGA-37-A5EM-01,0.02026616
TCGA-37-A5EN-01,0.017705605
TCGA-39-5011-01,0.027282647
TCGA-39-5016-01,0.025909788
TCGA-39-5019-01,0.012388427
TCGA-39-5021-01,0.013165548
TCGA-39-5022-01,0.012797816
TCGA-39-5024-01,0.01177566
TCGA-39-5027-01,0.019808533
TCGA-39-5028-01,0.012007245
TCGA-39-5029-01,0.018763399
TCGA-39-5030-01,0.015123308
TCGA-39-5031-01,0.012115966
TCGA-39-5034-01,0.035553465
TCGA-39-5035-01,0.028138391
TCGA-39-5036-01,0.016343487
TCGA-39-5037-01,0.022453514
TCGA-39-5039-01,0.011040579
TCGA-39-5040-01,0.0409772
TCGA-43-5668-01,0.026579764
TCGA-43-5670-01,0.02273106
TCGA-43-6143-01,0.08481436
TCGA-43-6647-01,0.017509891
TCGA-43-6770-01,0.018385178
TCGA-43-6771-01,0.026485328
TCGA-43-6773-01,0.018076716
TCGA-43-7656-01,0.027912749
TCGA-43-7657-01,0.018799588
TCGA-43-7658-01,0.048139473
TCGA-43-8115-01,0.012348622
TCGA-43-8116-01,0.018210208
TCGA-43-8118-01,0.011825952
TCGA-43-A474-01,0.041289555
TCGA-43-A475-01,0.015475101
TCGA-43-A56U-01,0.014713088
TCGA-43-A56V-01,0.012809413
TCGA-46-6025-01,0.030624986
TCGA-46-6026-01,0.128873551
TCGA-51-6867-01,0.027065362
TCGA-52-7622-01,0.010272545
TCGA-52-7809-01,0.017494174
TCGA-52-7810-01,0.028198525
TCGA-52-7811-01,0.012044874
TCGA-52-7812-01,0.034876772
TCGA-56-5897-01,0.020215216
TCGA-56-5898-01,0.013553204
TCGA-56-6545-01,0.017528227
TCGA-56-6546-01,0.02001051
TCGA-56-7221-01,0.040182507
TCGA-56-7222-01,0.044188666
TCGA-56-7223-01,0.050615152
TCGA-56-7579-01,0.030700878
TCGA-56-7580-01,0.015954543
TCGA-56-7582-01,0.036471806
TCGA-56-7730-01,0.043729735
TCGA-56-7731-01,0.012490465
TCGA-56-7822-01,0.012873519
TCGA-56-7823-01,0.077097269
TCGA-56-8082-01,0.043063397
TCGA-56-8083-01,0.101214094
TCGA-56-8201-01,0.019333259
TCGA-56-8304-01,0.020778497
TCGA-56-8305-01,0.016013904
TCGA-56-8307-01,0.030981772
TCGA-56-8308-01,0.015573753
TCGA-56-8309-01,0.017244023
TCGA-56-8503-01,0.01603298
TCGA-56-8504-01,0.018718313
TCGA-56-8622-01,0.024408321
TCGA-56-8623-01,0.020241188
TCGA-56-8624-01,0.016568773
TCGA-56-8625-01,0.016565928
TCGA-56-8626-01,0.01367998
TCGA-56-8628-01,0.012701081
TCGA-56-8629-01,0.033009329
TCGA-56-A49D-01,0.023043018
TCGA-56-A4BW-01,0.018065866
TCGA-56-A4BX-01,0.044700729
TCGA-56-A4BY-01,0.023211731
TCGA-56-A4ZJ-01,0.015194232
TCGA-56-A4ZK-01,0.016731263
TCGA-56-A5DR-01,0.017749409
TCGA-56-A5DS-01,0.011980947
TCGA-56-A62T-01,0.035098207
TCGA-58-8386-01,0.016587469
TCGA-58-8387-01,0.014843513
TCGA-58-8388-01,0.033595853
TCGA-58-8390-01,0.040353791
TCGA-58-8391-01,0.035672824
TCGA-58-8392-01,0.028278559
TCGA-58-8393-01,0.019179137
TCGA-58-A46J-01,0.012869473
TCGA-58-A46K-01,0.014655744
TCGA-58-A46L-01,0.016228631
TCGA-58-A46M-01,0.040761861
TCGA-58-A46N-01,0.053112553
TCGA-60-2697-01,0.02051685
TCGA-60-2703-01,0.020270352
