Sample ID,MYTH score
TCGA-3H-AB3K-01,0.025699182
TCGA-3H-AB3L-01,0.021586173
TCGA-3H-AB3M-01,0.031227203
TCGA-3H-AB3O-01,0.033499776
TCGA-3H-AB3S-01,0.030504823
TCGA-3H-AB3T-01,0.025356382
TCGA-3H-AB3U-01,0.033124982
TCGA-3H-AB3X-01,0.041054006
TCGA-3U-A98D-01,0.022253267
TCGA-3U-A98E-01,0.035219816
TCGA-3U-A98F-01,0.057559306
TCGA-3U-A98G-01,0.018059808
TCGA-3U-A98H-01,0.012389663
TCGA-3U-A98I-01,0.014078153
TCGA-3U-A98J-01,0.016390402
TCGA-LK-A4NW-01,0.022212022
TCGA-LK-A4NY-01,0.026938085
TCGA-LK-A4NZ-01,0.013724143
TCGA-LK-A4O0-01,0.022489852
TCGA-LK-A4O2-01,0.018479533
TCGA-LK-A4O4-01,0.02391118
TCGA-LK-A4O5-01,0.017191417
TCGA-LK-A4O6-01,0.009869711
TCGA-LK-A4O7-01,0.033867486
TCGA-MQ-A4KX-01,0.016524674
TCGA-MQ-A4LC-01,0.019337747
TCGA-MQ-A4LI-01,0.029724869
TCGA-MQ-A4LJ-01,0.02549562
TCGA-MQ-A4LM-01,0.025208194
TCGA-MQ-A4LP-01,0.04236222
TCGA-MQ-A4LV-01,0.025484817
TCGA-MQ-A6BL-01,0.02335839
TCGA-MQ-A6BN-01,0.026695795
TCGA-MQ-A6BQ-01,0.024299433
TCGA-MQ-A6BR-01,0.036708566
TCGA-MQ-A6BS-01,0.048839833
TCGA-NQ-A57I-01,0.037772903
TCGA-NQ-A638-01,0.025004562
TCGA-SC-A6LM-01,0.028613652
TCGA-SC-A6LN-01,0.0214961
TCGA-SC-A6LP-01,0.027188994
TCGA-SC-A6LQ-01,0.011712142
TCGA-SC-A6LR-01,0.024747441
TCGA-SC-AA5Z-01,0.018071212
TCGA-SH-A7BC-01,0.014016131
TCGA-SH-A7BD-01,0.043502494
TCGA-SH-A7BH-01,0.069221012
TCGA-SH-A9CT-01,0.037864511
TCGA-SH-A9CU-01,0.035059169
TCGA-TS-A7OU-01,0.022480217
TCGA-TS-A7OY-01,0.017272465
TCGA-TS-A7OZ-01,0.018725241
TCGA-TS-A7P0-01,0.022559684
TCGA-TS-A7P1-01,0.032993983
TCGA-TS-A7P3-01,0.01257039
TCGA-TS-A7P6-01,0.017538014
TCGA-TS-A7P7-01,0.05562792
TCGA-TS-A7P8-01,0.044042056
TCGA-TS-A7PB-01,0.018321785
TCGA-TS-A8AF-01,0.015451037
TCGA-TS-A8AI-01,0.016095031
TCGA-TS-A8AS-01,0.013267652
TCGA-TS-A8AV-01,0.026044221
TCGA-TS-A8AY-01,0.016921411
TCGA-UD-AABY-01,0.023649447
TCGA-UD-AABZ-01,0.016961913
TCGA-UD-AAC1-01,0.043818983
TCGA-UD-AAC4-01,0.023662759
TCGA-UD-AAC5-01,0.032576055
TCGA-UD-AAC6-01,0.015684742
TCGA-UD-AAC7-01,0.019346027
TCGA-UT-A88C-01,0.014654959
TCGA-UT-A88D-01,0.015630161
TCGA-UT-A88E-01,0.060290324
TCGA-UT-A88G-01,0.037531453
TCGA-UT-A97Y-01,0.009844943
TCGA-XT-AASU-01,0.020855118
TCGA-YS-A95B-01,0.032856707
TCGA-YS-A95C-01,0.022832191
TCGA-YS-AA4M-01,0.024062629
TCGA-ZN-A9VO-01,0.029009381
TCGA-ZN-A9VP-01,0.05193889
TCGA-ZN-A9VQ-01,0.040983893
TCGA-ZN-A9VS-01,0.030768111
TCGA-ZN-A9VU-01,0.025253978
TCGA-ZN-A9VV-01,0.056537771
TCGA-ZN-A9VW-01,0.038773255
