Sample ID,MYTH score
TCGA-2J-AAB1-01,0.022317808
TCGA-2J-AAB4-01,0.011199351
TCGA-2J-AAB6-01,0.033747998
TCGA-2J-AAB8-01,0.011105535
TCGA-2J-AAB9-01,0.0103668
TCGA-2J-AABA-01,0.011280435
TCGA-2J-AABE-01,0.011056351
TCGA-2J-AABF-01,0.008502307
TCGA-2J-AABH-01,0.018487884
TCGA-2J-AABI-01,0.041748271
TCGA-2J-AABK-01,0.009998793
TCGA-2J-AABO-01,0.016141479
TCGA-2J-AABP-01,0.034396169
TCGA-2J-AABR-01,0.010987757
TCGA-2J-AABT-01,0.01138472
TCGA-2J-AABU-01,0.016671832
TCGA-2J-AABV-01,0.025541338
TCGA-2L-AAQA-01,0.026412545
TCGA-2L-AAQE-01,0.016918192
TCGA-2L-AAQI-01,0.009523824
TCGA-2L-AAQJ-01,0.01493266
TCGA-2L-AAQL-01,0.013916597
TCGA-2L-AAQM-01,0.091926774
TCGA-3A-A9I5-01,0.014346966
TCGA-3A-A9I7-01,0.008819428
TCGA-3A-A9I9-01,0.014339602
TCGA-3A-A9IB-01,0.012763374
TCGA-3A-A9IC-01,0.013451037
TCGA-3A-A9IH-01,0.014124297
TCGA-3A-A9IJ-01,0.065997181
TCGA-3A-A9IL-01,0.075375076
TCGA-3A-A9IN-01,0.044315946
TCGA-3A-A9IO-01,0.05041099
TCGA-3A-A9IR-01,0.078631037
TCGA-3A-A9IS-01,0.087736528
TCGA-3A-A9IU-01,0.016832982
TCGA-3A-A9IV-01,0.076111933
TCGA-3A-A9IX-01,0.009177923
TCGA-3A-A9IZ-01,0.022579638
TCGA-3A-A9J0-01,0.023576017
TCGA-3E-AAAY-01,0.006791647
TCGA-3E-AAAZ-01,0.014025942
TCGA-F2-6879-01,0.030269187
TCGA-F2-6880-01,0.036131511
TCGA-F2-7273-01,0.011157723
TCGA-F2-7276-01,0.012814327
TCGA-F2-A44G-01,0.01177064
TCGA-F2-A44H-01,0.011504824
TCGA-F2-A7TX-01,0.011083554
TCGA-F2-A8YN-01,0.018460911
TCGA-FB-A4P5-01,0.017498075
TCGA-FB-A4P6-01,0.010941426
TCGA-FB-A545-01,0.035254386
TCGA-FB-A5VM-01,0.013980901
TCGA-FB-A78T-01,0.021217759
TCGA-FB-A7DR-01,0.013363991
TCGA-FB-AAPP-01,0.09639935
TCGA-FB-AAPQ-01,0.017569451
TCGA-FB-AAPS-01,0.011415194
TCGA-FB-AAPU-01,0.029130996
TCGA-FB-AAPY-01,0.006864979
TCGA-FB-AAPZ-01,0.03981456
TCGA-FB-AAQ0-01,0.024347589
TCGA-FB-AAQ1-01,0.01533437
TCGA-FB-AAQ2-01,0.019866806
TCGA-FB-AAQ3-01,0.008608042
TCGA-FB-AAQ6-01,0.028616033
TCGA-FZ-5919-01,0.009656137
TCGA-FZ-5920-01,0.012141395
TCGA-FZ-5922-01,0.012534184
TCGA-FZ-5923-01,0.01037017
TCGA-FZ-5924-01,0.017752602
TCGA-FZ-5926-01,0.009271499
TCGA-H6-8124-01,0.028316607
TCGA-H6-A45N-01,0.008777464
TCGA-H8-A6C1-01,0.017699455
TCGA-HV-A5A3-01,0.024215216
TCGA-HV-A5A4-01,0.021771344
TCGA-HV-A5A5-01,0.008804197
TCGA-HV-A5A6-01,0.024303058
TCGA-HV-A7OL-01,0.013242107
TCGA-HV-A7OP-01,0.0776076
TCGA-HV-AA8V-01,0.009483677
TCGA-HV-AA8X-01,0.025405901
TCGA-HZ-7289-01,0.045805406
TCGA-HZ-7918-01,0.011071017
TCGA-HZ-7919-01,0.013061767
TCGA-HZ-7920-01,0.017329611
TCGA-HZ-7922-01,0.014835945
TCGA-HZ-7923-01,0.013291684
TCGA-HZ-7924-01,0.010767985
TCGA-HZ-7925-01,0.01126219
TCGA-HZ-7926-01,0.008699041
TCGA-HZ-8001-01,0.008356924
TCGA-HZ-8002-01,0.010034194
TCGA-HZ-8003-01,0.010791117
TCGA-HZ-8005-01,0.015773238
TCGA-HZ-8315-01,0.007489055
TCGA-HZ-8317-01,0.009525138
TCGA-HZ-8519-01,0.019998752
TCGA-HZ-8636-01,0.010625832
TCGA-HZ-8637-01,0.013214486
TCGA-HZ-8638-01,0.013970909
TCGA-HZ-A49G-01,0.008707302
TCGA-HZ-A49H-01,0.010601852
TCGA-HZ-A49I-01,0.011494704
TCGA-HZ-A4BH-01,0.009289032
TCGA-HZ-A4BK-01,0.007317091
TCGA-HZ-A77O-01,0.014228767
TCGA-HZ-A77P-01,0.008207557
TCGA-HZ-A77Q-01,0.010514995
TCGA-HZ-A8P0-01,0.013742063
TCGA-HZ-A8P1-01,0.03006902
TCGA-HZ-A9TJ-06,0.027563486
TCGA-HZ-A9TJ-01,0.024566301
TCGA-IB-7644-01,0.023798705
TCGA-IB-7645-01,0.012920558
TCGA-IB-7646-01,0.020156373
TCGA-IB-7647-01,0.013184982
TCGA-IB-7649-01,0.007235168
TCGA-IB-7651-01,0.011988871
TCGA-IB-7652-01,0.012813996
TCGA-IB-7654-01,0.012534073
TCGA-IB-7885-01,0.011117443
TCGA-IB-7886-01,0.023019937
TCGA-IB-7887-01,0.01680924
TCGA-IB-7888-01,0.011255996
TCGA-IB-7889-01,0.007809724
TCGA-IB-7890-01,0.016074683
TCGA-IB-7891-01,0.008690695
TCGA-IB-7893-01,0.014851124
TCGA-IB-7897-01,0.013425426
TCGA-IB-8126-01,0.010663513
TCGA-IB-8127-01,0.022432054
TCGA-IB-A5SO-01,0.010077855
TCGA-IB-A5SP-01,0.040608634
TCGA-IB-A5SQ-01,0.009584733
TCGA-IB-A5SS-01,0.014730464
TCGA-IB-A5ST-01,0.026955389
TCGA-IB-A6UF-01,0.034097964
TCGA-IB-A6UG-01,0.014559226
TCGA-IB-A7LX-01,0.026949298
TCGA-IB-A7M4-01,0.011654029
TCGA-IB-AAUM-01,0.009875508
TCGA-IB-AAUN-01,0.020777578
TCGA-IB-AAUO-01,0.011621922
TCGA-IB-AAUP-01,0.021231893
TCGA-IB-AAUQ-01,0.01093727
TCGA-IB-AAUR-01,0.025995907
TCGA-IB-AAUS-01,0.021582514
TCGA-IB-AAUT-01,0.012614843
