Sample ID,MYTH score
TCGA-P7-A5NX-01,0.046081069
TCGA-P7-A5NY-05,0.020512274
TCGA-P7-A5NY-01,0.029935373
TCGA-P8-A5KC-01,0.019358322
TCGA-P8-A5KD-01,0.029455396
TCGA-P8-A6RX-01,0.043417893
TCGA-P8-A6RY-01,0.04485655
TCGA-PR-A5PF-01,0.040358629
TCGA-PR-A5PG-01,0.040456639
TCGA-PR-A5PH-01,0.027619096
TCGA-QR-A6GO-01,0.029669081
TCGA-QR-A6GR-01,0.018060118
TCGA-QR-A6GS-01,0.035425767
TCGA-QR-A6GT-01,0.054706416
TCGA-QR-A6GU-01,0.047925447
TCGA-QR-A6GW-01,0.033871963
TCGA-QR-A6GX-01,0.035442172
TCGA-QR-A6GY-01,0.05680864
TCGA-QR-A6GZ-05,0.026318289
TCGA-QR-A6GZ-01,0.020843393
TCGA-QR-A6H0-01,0.038643042
TCGA-QR-A6H1-01,0.0382622
TCGA-QR-A6H2-01,0.036121624
TCGA-QR-A6H3-01,0.038382014
TCGA-QR-A6H4-01,0.043844486
TCGA-QR-A6H5-01,0.015933921
TCGA-QR-A6H6-01,0.063671447
TCGA-QR-A6ZZ-01,0.02641436
TCGA-QR-A700-01,0.035864013
TCGA-QR-A702-01,0.037597309
TCGA-QR-A703-01,0.024984717
TCGA-QR-A705-01,0.038095427
TCGA-QR-A706-01,0.017624006
TCGA-QR-A707-01,0.032147213
TCGA-QR-A708-01,0.032515329
TCGA-QR-A70A-01,0.033357935
TCGA-QR-A70C-01,0.017137282
TCGA-QR-A70D-01,0.064042664
TCGA-QR-A70E-01,0.040936144
TCGA-QR-A70G-01,0.020739046
TCGA-QR-A70H-01,0.039293182
TCGA-QR-A70I-01,0.026350448
TCGA-QR-A70J-01,0.02332656
TCGA-QR-A70K-01,0.049572733
TCGA-QR-A70M-01,0.038184864
TCGA-QR-A70N-01,0.021739834
TCGA-QR-A70O-01,0.03280851
TCGA-QR-A70P-01,0.098874793
TCGA-QR-A70Q-01,0.029276639
TCGA-QR-A70R-01,0.032413412
TCGA-QR-A70T-01,0.042808562
TCGA-QR-A70U-01,0.027953241
TCGA-QR-A70V-01,0.045045162
TCGA-QR-A70W-01,0.04567584
TCGA-QR-A70X-01,0.013790878
TCGA-QR-A7IN-01,0.02764338
TCGA-QR-A7IP-01,0.044298453
TCGA-QT-A5XJ-01,0.085707259
TCGA-QT-A5XK-01,0.021883428
TCGA-QT-A5XL-01,0.020265829
TCGA-QT-A5XM-01,0.021329762
TCGA-QT-A5XN-01,0.040389517
TCGA-QT-A5XO-01,0.025784689
TCGA-QT-A5XP-01,0.027777913
TCGA-QT-A69Q-01,0.033081193
TCGA-QT-A7U0-01,0.025581357
TCGA-RM-A68T-01,0.048044498
TCGA-RM-A68W-01,0.038897978
TCGA-RT-A6Y9-01,0.035980195
TCGA-RT-A6YA-01,0.041873727
TCGA-RT-A6YC-01,0.040184101
TCGA-RW-A67V-01,0.045645896
TCGA-RW-A67W-01,0.028229165
TCGA-RW-A67X-01,0.015923336
TCGA-RW-A67Y-01,0.052317226
TCGA-RW-A680-01,0.069057671
TCGA-RW-A681-01,0.0725335
TCGA-RW-A684-01,0.023382963
TCGA-RW-A685-01,0.01998922
TCGA-RW-A686-06,0.021259274
TCGA-RW-A686-01,0.024850387
TCGA-RW-A688-01,0.053013998
TCGA-RW-A689-01,0.028660397
TCGA-RW-A68A-01,0.032100817
TCGA-RW-A68B-01,0.041279613
TCGA-RW-A68C-01,0.016870884
TCGA-RW-A68D-01,0.028311455
TCGA-RW-A68F-01,0.060581829
TCGA-RW-A68G-01,0.023555725
TCGA-RW-A7CZ-01,0.038032013
TCGA-RW-A7D0-01,0.021809376
TCGA-RW-A8AZ-01,0.047182634
TCGA-RX-A8JQ-01,0.024802392
TCGA-S7-A7WL-01,0.029780151
TCGA-S7-A7WM-01,0.025175665
TCGA-S7-A7WN-01,0.026542721
TCGA-S7-A7WO-01,0.046095397
TCGA-S7-A7WP-01,0.025879202
TCGA-S7-A7WQ-01,0.022774144
TCGA-S7-A7WR-01,0.029593252
TCGA-S7-A7WT-01,0.023686302
TCGA-S7-A7WU-01,0.028646597
TCGA-S7-A7WV-01,0.032756542
TCGA-S7-A7WW-01,0.025382983
TCGA-S7-A7WX-01,0.027542061
TCGA-S7-A7X0-01,0.019593807
TCGA-S7-A7X1-01,0.016985166
TCGA-S7-A7X2-01,0.021455602
TCGA-SA-A6C2-01,0.042209058
TCGA-SP-A6QC-01,0.019631287
TCGA-SP-A6QD-01,0.047139385
TCGA-SP-A6QF-01,0.026523013
TCGA-SP-A6QG-01,0.043779569
TCGA-SP-A6QH-01,0.040046762
TCGA-SP-A6QI-01,0.030852351
TCGA-SP-A6QJ-01,0.032962314
TCGA-SP-A6QK-01,0.018880513
TCGA-SQ-A6I4-01,0.02075994
TCGA-SQ-A6I6-01,0.030177649
TCGA-SR-A6MP-01,0.019823172
TCGA-SR-A6MQ-01,0.026120497
TCGA-SR-A6MR-01,0.030772839
TCGA-SR-A6MS-01,0.035228278
TCGA-SR-A6MT-01,0.043922918
TCGA-SR-A6MU-01,0.02707465
TCGA-SR-A6MV-01,0.026711786
TCGA-SR-A6MX-05,0.063853846
TCGA-SR-A6MX-06,0.075358572
TCGA-SR-A6MX-01,0.066506388
TCGA-SR-A6MY-01,0.027198575
TCGA-SR-A6MZ-01,0.022173261
TCGA-SR-A6N0-01,0.020461249
TCGA-TT-A6YJ-01,0.037456377
TCGA-TT-A6YK-01,0.021888778
TCGA-TT-A6YN-01,0.030294231
TCGA-TT-A6YO-01,0.051585093
