Sample ID,MYTH score
TCGA-2A-A8VL-01,0.012834343
TCGA-2A-A8VO-01,0.025139694
TCGA-2A-A8VT-01,0.020956664
TCGA-2A-A8VV-01,0.02172188
TCGA-2A-A8VX-01,0.044240888
TCGA-2A-A8W1-01,0.035855299
TCGA-2A-A8W3-01,0.013615729
TCGA-2A-AAYF-01,0.025855607
TCGA-2A-AAYO-01,0.025686326
TCGA-2A-AAYU-01,0.024375151
TCGA-4L-AA1F-01,0.02405462
TCGA-CH-5737-01,0.033432997
TCGA-CH-5738-01,0.010113176
TCGA-CH-5739-01,0.018931763
TCGA-CH-5740-01,0.017132878
TCGA-CH-5741-01,0.029045203
TCGA-CH-5743-01,0.043348336
TCGA-CH-5744-01,0.014194379
TCGA-CH-5745-01,0.015515129
TCGA-CH-5746-01,0.011710664
TCGA-CH-5748-01,0.009975207
TCGA-CH-5750-01,0.021910095
TCGA-CH-5751-01,0.029245996
TCGA-CH-5752-01,0.03771168
TCGA-CH-5753-01,0.02459086
TCGA-CH-5754-01,0.021447713
TCGA-CH-5761-01,0.029412445
TCGA-CH-5762-01,0.009543951
TCGA-CH-5763-01,0.022105754
TCGA-CH-5764-01,0.010302139
TCGA-CH-5765-01,0.028650831
TCGA-CH-5766-01,0.021884372
TCGA-CH-5767-01,0.033227009
TCGA-CH-5768-01,0.018208406
TCGA-CH-5769-01,0.020854014
TCGA-CH-5771-01,0.0114412
TCGA-CH-5772-01,0.026599761
TCGA-CH-5788-01,0.04473697
TCGA-CH-5789-01,0.024846231
TCGA-CH-5790-01,0.021371992
TCGA-CH-5791-01,0.01788401
TCGA-CH-5792-01,0.012067089
TCGA-CH-5794-01,0.016296116
TCGA-EJ-5494-01,0.030182977
TCGA-EJ-5495-01,0.010863181
TCGA-EJ-5496-01,0.010054526
TCGA-EJ-5497-01,0.008613361
TCGA-EJ-5498-01,0.012169826
TCGA-EJ-5499-01,0.010758967
TCGA-EJ-5501-01,0.012653335
TCGA-EJ-5502-01,0.007575899
TCGA-EJ-5503-01,0.032363355
TCGA-EJ-5504-01,0.01002224
TCGA-EJ-5505-01,0.014153763
TCGA-EJ-5506-01,0.025557962
TCGA-EJ-5507-01,0.01998238
TCGA-EJ-5508-01,0.008179654
TCGA-EJ-5509-01,0.014895287
TCGA-EJ-5510-01,0.013538222
TCGA-EJ-5511-01,0.023057493
TCGA-EJ-5512-01,0.028435243
TCGA-EJ-5514-01,0.026022636
TCGA-EJ-5515-01,0.028750468
TCGA-EJ-5516-01,0.009781233
TCGA-EJ-5517-01,0.019139918
TCGA-EJ-5518-01,0.020134926
TCGA-EJ-5519-01,0.021891491
TCGA-EJ-5521-01,0.014390793
TCGA-EJ-5522-01,0.009707106
TCGA-EJ-5524-01,0.010849388
TCGA-EJ-5525-01,0.038895976
TCGA-EJ-5526-01,0.015379774
TCGA-EJ-5527-01,0.009157144
TCGA-EJ-5530-01,0.018739407
TCGA-EJ-5531-01,0.012748867
TCGA-EJ-5532-01,0.015648338
TCGA-EJ-5542-01,0.010935101
TCGA-EJ-7115-01,0.01822877
TCGA-EJ-7123-01,0.017641457
TCGA-EJ-7125-01,0.053097373
TCGA-EJ-7218-01,0.022116165
TCGA-EJ-7312-01,0.039693308
TCGA-EJ-7314-01,0.017870356
TCGA-EJ-7315-01,0.026325174
TCGA-EJ-7317-01,0.019811167
TCGA-EJ-7318-01,0.011191444
TCGA-EJ-7321-01,0.015169814
TCGA-EJ-7325-01,0.027070881
TCGA-EJ-7327-01,0.013326681
TCGA-EJ-7328-01,0.010970015
TCGA-EJ-7330-01,0.013397496
TCGA-EJ-7331-01,0.012863641
TCGA-EJ-7781-01,0.014760733
TCGA-EJ-7782-01,0.041969492
TCGA-EJ-7783-01,0.011048418
TCGA-EJ-7784-01,0.025602017
TCGA-EJ-7785-01,0.011127586
TCGA-EJ-7786-01,0.01364067
TCGA-EJ-7788-01,0.017573696
TCGA-EJ-7789-01,0.066236057
TCGA-EJ-7791-01,0.015726621
TCGA-EJ-7792-01,0.012274746
TCGA-EJ-7793-01,0.015660188
TCGA-EJ-7794-01,0.013372227
TCGA-EJ-7797-01,0.012866885
TCGA-EJ-8468-01,0.015652275
TCGA-EJ-8469-01,0.027990816
TCGA-EJ-8470-01,0.01388143
TCGA-EJ-8472-01,0.034715125
TCGA-EJ-8474-01,0.02239392
TCGA-EJ-A46B-01,0.016251193
TCGA-EJ-A46D-01,0.013135783
TCGA-EJ-A46E-01,0.036913573
TCGA-EJ-A46F-01,0.042888697
TCGA-EJ-A46G-01,0.033724547
TCGA-EJ-A46H-01,0.044141247
TCGA-EJ-A46I-01,0.012568145
TCGA-EJ-A65B-01,0.018394454
TCGA-EJ-A65D-01,0.050772554
TCGA-EJ-A65E-01,0.021587899
TCGA-EJ-A65F-01,0.022691362
TCGA-EJ-A65G-01,0.02288194
TCGA-EJ-A65J-01,0.041120757
TCGA-EJ-A65M-01,0.014035111
TCGA-EJ-A6RA-01,0.016639752
TCGA-EJ-A6RC-01,0.011765792
TCGA-EJ-A7NF-01,0.019681371
TCGA-EJ-A7NG-01,0.022482261
TCGA-EJ-A7NH-01,0.018139196
