Sample ID,MYTH score
TCGA-AF-2687-01,0.031018786
TCGA-AF-2690-01,0.018172509
TCGA-AF-2693-01,0.021368168
TCGA-AF-3911-01,0.026854732
TCGA-AF-4110-01,0.015472777
TCGA-AF-6136-01,0.025167344
TCGA-AF-6655-01,0.022042815
TCGA-AF-6672-01,0.035394456
TCGA-AF-A56K-01,0.0222344
TCGA-AF-A56L-01,0.017459708
TCGA-AF-A56N-01,0.02463719
TCGA-AG-3591-01,0.047894733
TCGA-AG-3592-01,0.027049881
TCGA-AG-3725-01,0.0412433
TCGA-AG-3731-01,0.020068941
TCGA-AG-3732-01,0.043031296
TCGA-AG-3742-01,0.036444529
TCGA-AG-4021-01,0.042565841
TCGA-AG-4022-01,0.021234051
TCGA-AG-A01W-01,0.025248611
TCGA-AG-A01Y-01,0.038528567
TCGA-AG-A026-01,0.047308432
TCGA-AG-A02N-01,0.041083271
TCGA-AG-A036-01,0.019403362
TCGA-AH-6544-01,0.026088775
TCGA-AH-6547-01,0.015982625
TCGA-AH-6549-01,0.0256515
TCGA-AH-6643-01,0.034408559
TCGA-AH-6644-01,0.02421912
TCGA-AH-6897-01,0.051108934
TCGA-BM-6198-01,0.027474647
TCGA-CI-6619-01,0.023885083
TCGA-CI-6620-01,0.02310328
TCGA-CI-6621-01,0.023428958
TCGA-CI-6622-01,0.020312805
TCGA-CI-6623-01,0.024603379
TCGA-CI-6624-01,0.019658756
TCGA-CL-4957-01,0.018652588
TCGA-CL-5917-01,0.030079624
TCGA-CL-5918-01,0.027293075
TCGA-DC-4745-01,0.029006051
TCGA-DC-4749-01,0.027497107
TCGA-DC-5337-01,0.021776817
TCGA-DC-5869-01,0.021809471
TCGA-DC-6154-01,0.03153387
TCGA-DC-6155-01,0.019012664
TCGA-DC-6156-01,0.019116597
TCGA-DC-6157-01,0.025824627
TCGA-DC-6158-01,0.022652555
TCGA-DC-6160-01,0.020769406
TCGA-DC-6681-01,0.017115284
TCGA-DC-6682-01,0.022913353
TCGA-DC-6683-01,0.018996098
TCGA-DY-A0XA-01,0.033587418
TCGA-DY-A1DC-01,0.024965587
TCGA-DY-A1DD-01,0.041799706
TCGA-DY-A1DE-01,0.03802598
TCGA-DY-A1DF-01,0.061433843
TCGA-DY-A1DG-01,0.045247792
TCGA-DY-A1H8-01,0.035508307
TCGA-EF-5830-01,0.041546561
TCGA-EF-5831-01,0.029272124
TCGA-EI-6506-01,0.017184505
TCGA-EI-6507-01,0.045157061
TCGA-EI-6508-01,0.037477134
TCGA-EI-6509-01,0.039790589
TCGA-EI-6510-01,0.027645122
TCGA-EI-6511-01,0.024472426
TCGA-EI-6512-01,0.031141372
TCGA-EI-6513-01,0.054975263
TCGA-EI-6514-01,0.025863992
TCGA-EI-6881-01,0.027355479
TCGA-EI-6883-01,0.040334239
TCGA-EI-6884-01,0.014681192
TCGA-EI-6885-01,0.033369968
TCGA-EI-6917-01,0.043859599
TCGA-EI-7002-01,0.029384268
TCGA-F5-6464-01,0.023829401
TCGA-F5-6465-01,0.021997772
TCGA-F5-6571-01,0.021763256
TCGA-F5-6702-01,0.025358918
TCGA-F5-6810-01,0.049465382
TCGA-F5-6811-01,0.022730206
TCGA-F5-6812-01,0.020581561
TCGA-F5-6813-01,0.028574463
TCGA-F5-6814-01,0.030412843
TCGA-F5-6861-01,0.015620432
TCGA-F5-6863-01,0.025230175
TCGA-F5-6864-01,0.022255642
TCGA-G5-6233-01,0.024478985
TCGA-G5-6235-01,0.012249877
TCGA-G5-6572-01,0.037015856
TCGA-G5-6572-02,0.029123453
TCGA-AG-A020-01,0.033074663
TCGA-AH-6903-01,0.019714277
TCGA-DT-5265-01,0.04050035
TCGA-EI-6882-01,0.039305018
TCGA-EI-7004-01,0.029153827
TCGA-G5-6641-01,0.021296583
