Sample ID,MYTH score
TCGA-3B-A9HI-01,0.02810602
TCGA-3B-A9HJ-01,0.040280581
TCGA-3B-A9HL-01,0.022950851
TCGA-3B-A9HO-01,0.028807556
TCGA-3B-A9HP-01,0.034650392
TCGA-3B-A9HQ-01,0.035692376
TCGA-3B-A9HR-01,0.062216328
TCGA-3B-A9HS-01,0.046416504
TCGA-3B-A9HT-01,0.035268741
TCGA-3B-A9HU-01,0.030071465
TCGA-3B-A9HV-01,0.062817843
TCGA-3B-A9HX-01,0.032308105
TCGA-3B-A9HY-01,0.04148875
TCGA-3B-A9HZ-01,0.034053012
TCGA-3B-A9I0-01,0.057593469
TCGA-3B-A9I1-01,0.060258401
TCGA-3B-A9I3-01,0.020723084
TCGA-3R-A8YX-01,0.057137722
TCGA-DX-A1KU-01,0.025764945
TCGA-DX-A1KW-01,0.049511238
TCGA-DX-A1KX-01,0.037335722
TCGA-DX-A1KY-01,0.086813248
TCGA-DX-A1KZ-01,0.026876913
TCGA-DX-A1L0-01,0.040937946
TCGA-DX-A1L1-01,0.049920603
TCGA-DX-A1L2-01,0.033993027
TCGA-DX-A1L3-01,0.02680126
TCGA-DX-A1L4-01,0.03540177
TCGA-DX-A23R-01,0.056229691
TCGA-DX-A23T-01,0.026357011
TCGA-DX-A23U-01,0.031790963
TCGA-DX-A23V-01,0.024169447
TCGA-DX-A23Y-01,0.047778561
TCGA-DX-A23Z-01,0.022162095
TCGA-DX-A240-01,0.035587863
TCGA-DX-A2IZ-01,0.084035369
TCGA-DX-A2J0-01,0.042664773
TCGA-DX-A2J1-01,0.024304706
TCGA-DX-A2J4-01,0.024158796
TCGA-DX-A3LS-01,0.02558078
TCGA-DX-A3LT-01,0.029391878
TCGA-DX-A3LU-01,0.022196889
TCGA-DX-A3LW-01,0.041597681
TCGA-DX-A3LY-01,0.040211655
TCGA-DX-A3M1-01,0.041255639
TCGA-DX-A3M2-01,0.0294013
TCGA-DX-A3U5-01,0.037114234
TCGA-DX-A3U6-01,0.03210711
TCGA-DX-A3U7-01,0.069536868
TCGA-DX-A3U8-01,0.048258287
TCGA-DX-A3U9-01,0.048712742
TCGA-DX-A3UA-01,0.056729822
TCGA-DX-A3UB-01,0.037348831
TCGA-DX-A3UC-01,0.060002944
TCGA-DX-A3UD-01,0.068744792
TCGA-DX-A3UE-01,0.059013456
TCGA-DX-A3UF-01,0.062771055
TCGA-DX-A48J-01,0.04730469
TCGA-DX-A48K-01,0.030234231
TCGA-DX-A48L-01,0.055758998
TCGA-DX-A48N-01,0.04708625
TCGA-DX-A48O-01,0.065263884
TCGA-DX-A48P-01,0.041351784
TCGA-DX-A48R-01,0.069173588
TCGA-DX-A48U-01,0.061096831
TCGA-DX-A48V-01,0.052359955
TCGA-DX-A6B7-01,0.05982163
TCGA-DX-A6B8-01,0.068130439
TCGA-DX-A6B9-01,0.04661957
TCGA-DX-A6BA-01,0.057218586
TCGA-DX-A6BB-01,0.042749483
TCGA-DX-A6BE-01,0.021539024
TCGA-DX-A6BF-01,0.033594908
TCGA-DX-A6BG-01,0.018145168
TCGA-DX-A6BH-01,0.025122087
TCGA-DX-A6BK-01,0.029625914
TCGA-DX-A6YQ-01,0.062677149
TCGA-DX-A6YR-01,0.046304901
TCGA-DX-A6YS-01,0.057290314
TCGA-DX-A6YT-01,0.050926403
TCGA-DX-A6YU-01,0.026349598
TCGA-DX-A6YV-01,0.081251546
TCGA-DX-A6YX-01,0.073079745
TCGA-DX-A6YZ-01,0.030058681
TCGA-DX-A6Z0-01,0.03529399
TCGA-DX-A6Z2-01,0.033240737
TCGA-DX-A7EF-01,0.049621294
TCGA-DX-A7EI-01,0.051492321
TCGA-DX-A7EL-01,0.038921755
TCGA-DX-A7EM-01,0.046705919
TCGA-DX-A7EN-01,0.068646684
TCGA-DX-A7EO-01,0.059813642
TCGA-DX-A7EQ-01,0.062545048
TCGA-DX-A7ER-01,0.065263279
TCGA-DX-A7ES-01,0.015390144
TCGA-DX-A7ET-01,0.02845809
TCGA-DX-A7EU-01,0.032394574
TCGA-DX-A8BG-01,0.029517664
TCGA-DX-A8BH-01,0.031455847
TCGA-DX-A8BJ-01,0.040599889
TCGA-DX-A8BK-01,0.028080728
TCGA-DX-A8BL-01,0.04312411
TCGA-DX-A8BM-01,0.04043383
TCGA-DX-A8BN-01,0.037258166
TCGA-DX-A8BO-01,0.039921044
TCGA-DX-A8BP-01,0.044550316
