Sample ID,MYTH score
TCGA-3N-A9WB-06,0.05408995
TCGA-3N-A9WC-06,0.029196944
TCGA-3N-A9WD-06,0.014291592
TCGA-BF-A1PU-01,0.045560578
TCGA-BF-A1PV-01,0.07045428
TCGA-BF-A1PX-01,0.01767356
TCGA-BF-A1PZ-01,0.041220782
TCGA-BF-A1Q0-01,0.033745243
TCGA-BF-A3DJ-01,0.031013192
TCGA-BF-A3DL-01,0.028678071
TCGA-BF-A3DM-01,0.052439898
TCGA-BF-A3DN-01,0.025245157
TCGA-BF-A5EO-01,0.022053497
TCGA-BF-A5EP-01,0.035798949
TCGA-BF-A5EQ-01,0.042683694
TCGA-BF-A5ER-01,0.070218086
TCGA-BF-A5ES-01,0.038261407
TCGA-BF-A9VF-01,0.063301774
TCGA-BF-AAOU-01,0.026685223
TCGA-BF-AAOX-01,0.050251732
TCGA-BF-AAP0-06,0.026471528
TCGA-BF-AAP1-01,0.044980231
TCGA-BF-AAP2-01,0.037388083
TCGA-BF-AAP4-01,0.024968411
TCGA-BF-AAP6-01,0.045524292
TCGA-BF-AAP7-01,0.016969722
TCGA-BF-AAP8-01,0.042912964
TCGA-D3-A1Q1-06,0.065362104
TCGA-D3-A1Q3-06,0.056566945
TCGA-D3-A1Q4-06,0.027153257
TCGA-D3-A1Q5-06,0.061852585
TCGA-D3-A1Q6-06,0.029083712
TCGA-D3-A1Q7-06,0.021265286
TCGA-D3-A1Q8-06,0.028274455
TCGA-D3-A1Q9-06,0.051249922
TCGA-D3-A1QA-07,0.034992113
TCGA-D3-A1QA-06,0.085275151
TCGA-D3-A1QB-06,0.023507453
TCGA-D3-A2J6-06,0.032556348
TCGA-D3-A2J7-06,0.02239131
TCGA-D3-A2J8-06,0.029402979
TCGA-D3-A2J9-06,0.029829384
TCGA-D3-A2JA-06,0.03128599
TCGA-D3-A2JB-06,0.02782521
TCGA-D3-A2JC-06,0.024949848
TCGA-D3-A2JD-06,0.020557709
TCGA-D3-A2JE-06,0.055702324
TCGA-D3-A2JF-06,0.029982139
TCGA-D3-A2JG-06,0.037791643
TCGA-D3-A2JH-06,0.023581864
TCGA-D3-A2JK-06,0.020571191
TCGA-D3-A2JL-06,0.032730126
TCGA-D3-A2JN-06,0.022476637
TCGA-D3-A2JO-06,0.03745007
TCGA-D3-A2JP-06,0.031592878
TCGA-D3-A3BZ-06,0.022699036
TCGA-D3-A3C1-06,0.025897355
TCGA-D3-A3C3-06,0.035285938
TCGA-D3-A3C6-06,0.045438096
TCGA-D3-A3C7-06,0.039623781
TCGA-D3-A3C8-06,0.036176391
TCGA-D3-A3CB-06,0.028809508
TCGA-D3-A3CC-06,0.033475198
TCGA-D3-A3CE-06,0.030336395
TCGA-D3-A3CF-06,0.020110661
TCGA-D3-A3ML-06,0.093763627
TCGA-D3-A3MO-06,0.042443553
TCGA-D3-A3MR-06,0.02598056
TCGA-D3-A3MU-06,0.046111688
TCGA-D3-A3MV-06,0.03445928
TCGA-D3-A51E-06,0.044454772
TCGA-D3-A51F-06,0.035592657
TCGA-D3-A51G-06,0.061434811
TCGA-D3-A51H-06,0.050879224
TCGA-D3-A51J-06,0.026182134
TCGA-D3-A51K-06,0.036549953
TCGA-D3-A51N-06,0.037423758
TCGA-D3-A51R-06,0.073282906
TCGA-D3-A51T-06,0.042462089
TCGA-D3-A5GL-06,0.043043357
TCGA-D3-A5GN-06,0.025139106
TCGA-D3-A5GO-06,0.040922624
TCGA-D3-A5GR-06,0.018351115
TCGA-D3-A5GS-06,0.034458317
TCGA-D3-A5GT-01,0.076030126
TCGA-D3-A5GU-06,0.056839429
TCGA-D3-A8GB-06,0.027240225
TCGA-D3-A8GC-06,0.0744232
TCGA-D3-A8GD-06,0.022511414
TCGA-D3-A8GE-06,0.039114591
TCGA-D3-A8GI-06,0.05235692
TCGA-D3-A8GJ-06,0.022166505
TCGA-D3-A8GK-06,0.052401565
TCGA-D3-A8GL-06,0.094106802
TCGA-D3-A8GM-06,0.029442039
TCGA-D3-A8GN-06,0.021987846
TCGA-D3-A8GO-06,0.020047805
TCGA-D3-A8GP-06,0.064038893
TCGA-D3-A8GQ-06,0.041762485
TCGA-D3-A8GR-06,0.055111827
TCGA-D3-A8GS-06,0.024399292
TCGA-D3-A8GV-06,0.053222523
TCGA-D9-A148-06,0.094830788
TCGA-D9-A149-06,0.038937663
TCGA-D9-A1JW-06,0.033089379
TCGA-D9-A1JX-06,0.033930366
TCGA-D9-A1X3-06,0.077654301
TCGA-D9-A3Z1-06,0.017819022
TCGA-D9-A3Z3-06,0.021499718
TCGA-D9-A3Z4-01,0.034162088
TCGA-D9-A4Z2-01,0.036063068
TCGA-D9-A4Z3-01,0.047886985
TCGA-D9-A4Z5-01,0.057513849
TCGA-D9-A4Z6-06,0.039959872
TCGA-D9-A6E9-06,0.023002459
TCGA-D9-A6EA-06,0.051520047
TCGA-D9-A6EC-06,0.051480096
TCGA-D9-A6EG-06,0.065754293
TCGA-DA-A1HV-06,0.0340502
TCGA-DA-A1HW-06,0.022024724
TCGA-DA-A1HY-06,0.04728585
TCGA-DA-A1I0-06,0.024059155
TCGA-DA-A1I1-06,0.025904952
TCGA-DA-A1I2-06,0.034879432
TCGA-DA-A1I4-06,0.025756343
TCGA-DA-A1I5-06,0.023931147
TCGA-DA-A1I7-06,0.03379985
