Sample ID,MYTH score
TCGA-3M-AB46-01,0.033943453
TCGA-3M-AB47-01,0.014835787
TCGA-B7-5816-01,0.016387225
TCGA-B7-5818-01,0.062831953
TCGA-B7-A5TI-01,0.023782558
TCGA-B7-A5TJ-01,0.036284076
TCGA-B7-A5TK-01,0.027185922
TCGA-B7-A5TN-01,0.02787396
TCGA-BR-6452-01,0.020225341
TCGA-BR-6453-01,0.015622406
TCGA-BR-6454-01,0.01984376
TCGA-BR-6455-01,0.053514254
TCGA-BR-6456-01,0.024334344
TCGA-BR-6457-01,0.01217771
TCGA-BR-6458-01,0.020166388
TCGA-BR-6563-01,0.014669839
TCGA-BR-6564-01,0.021831871
TCGA-BR-6565-01,0.023604674
TCGA-BR-6566-01,0.016360045
TCGA-BR-6705-01,0.018564214
TCGA-BR-6706-01,0.021789655
TCGA-BR-6707-01,0.043792133
TCGA-BR-6709-01,0.03053848
TCGA-BR-6710-01,0.031239402
TCGA-BR-6801-01,0.032138025
TCGA-BR-6802-01,0.012836793
TCGA-BR-6803-01,0.016532123
TCGA-BR-6852-01,0.017380192
TCGA-BR-7196-01,0.021942044
TCGA-BR-7197-01,0.031227617
TCGA-BR-7703-01,0.034542353
TCGA-BR-7704-01,0.035468891
TCGA-BR-7707-01,0.023300005
TCGA-BR-7715-01,0.031944262
TCGA-BR-7716-01,0.022373609
TCGA-BR-7717-01,0.023781638
TCGA-BR-7722-01,0.027107572
TCGA-BR-7723-01,0.044103842
TCGA-BR-7851-01,0.036639852
TCGA-BR-7901-01,0.028313829
TCGA-BR-7957-01,0.018522424
TCGA-BR-7958-01,0.034539996
TCGA-BR-7959-01,0.019244629
TCGA-BR-8058-01,0.01547674
TCGA-BR-8059-01,0.016571133
TCGA-BR-8060-01,0.050685217
TCGA-BR-8077-01,0.034888032
TCGA-BR-8078-01,0.04916485
TCGA-BR-8080-01,0.011648429
TCGA-BR-8081-01,0.025185109
TCGA-BR-8284-01,0.018219297
TCGA-BR-8285-01,0.030860386
TCGA-BR-8286-01,0.027911723
TCGA-BR-8289-01,0.028249265
TCGA-BR-8291-01,0.020540382
TCGA-BR-8295-01,0.053706617
TCGA-BR-8296-01,0.018721466
TCGA-BR-8297-01,0.013105657
TCGA-BR-8360-01,0.03717483
