Sample ID,MYTH score
TCGA-4C-A93U-01,0.055544613
TCGA-BJ-A0YZ-01,0.031087049
TCGA-BJ-A0Z0-01,0.033257601
TCGA-BJ-A0Z2-01,0.050164626
TCGA-BJ-A0Z3-01,0.015207637
TCGA-BJ-A0Z5-01,0.029472282
TCGA-BJ-A0Z9-01,0.038143181
TCGA-BJ-A0ZA-01,0.032733424
TCGA-BJ-A0ZB-01,0.030753023
TCGA-BJ-A0ZC-01,0.030832149
TCGA-BJ-A0ZE-01,0.040899995
TCGA-BJ-A0ZG-01,0.027101208
TCGA-BJ-A0ZH-01,0.017493743
TCGA-BJ-A0ZJ-01,0.012838507
TCGA-BJ-A18Y-01,0.027036342
TCGA-BJ-A18Z-01,0.018598578
TCGA-BJ-A190-01,0.043856098
TCGA-BJ-A191-01,0.062208578
TCGA-BJ-A192-01,0.033024775
TCGA-BJ-A28R-01,0.021914828
TCGA-BJ-A28S-01,0.043722244
TCGA-BJ-A28T-01,0.016230114
TCGA-BJ-A28V-01,0.045779185
TCGA-BJ-A28W-01,0.041145461
TCGA-BJ-A28X-01,0.018449214
TCGA-BJ-A28Z-01,0.021008251
TCGA-BJ-A290-01,0.04241505
TCGA-BJ-A291-01,0.031981018
TCGA-BJ-A2N7-01,0.033649858
TCGA-BJ-A2N8-01,0.024799234
TCGA-BJ-A2N9-01,0.049629997
TCGA-BJ-A2NA-01,0.019712246
TCGA-BJ-A2P4-01,0.033133331
TCGA-BJ-A3EZ-01,0.035306498
TCGA-BJ-A3F0-01,0.040476669
TCGA-BJ-A3PR-01,0.039292259
TCGA-BJ-A3PT-01,0.022553478
TCGA-BJ-A3PU-01,0.024624643
TCGA-BJ-A45C-01,0.045816077
TCGA-BJ-A45D-01,0.019013015
TCGA-BJ-A45E-01,0.038175014
TCGA-BJ-A45F-01,0.029611829
TCGA-BJ-A45G-01,0.019828171
TCGA-BJ-A45H-01,0.010193249
TCGA-BJ-A45I-01,0.015807072
TCGA-BJ-A45J-01,0.028509544
TCGA-BJ-A45K-01,0.043572608
TCGA-BJ-A4O8-01,0.017531585
TCGA-BJ-A4O9-01,0.044277806
TCGA-CE-A13K-01,0.021144875
TCGA-CE-A27D-01,0.012358474
TCGA-CE-A3MD-01,0.021617667
TCGA-CE-A3ME-01,0.026001708
TCGA-CE-A481-01,0.012656952
TCGA-CE-A482-01,0.020873131
TCGA-CE-A483-01,0.026858652
TCGA-CE-A484-01,0.035747126
TCGA-CE-A485-01,0.011761421
TCGA-DE-A0XZ-01,0.021680379
TCGA-DE-A0Y2-01,0.026229583
TCGA-DE-A0Y3-01,0.032689817
TCGA-DE-A2OL-01,0.053371129
TCGA-DE-A3KN-01,0.019205158
TCGA-DE-A4M8-01,0.021750335
TCGA-DE-A4M9-01,0.046264286
TCGA-DE-A4MA-01,0.027779443
TCGA-DE-A4MB-01,0.029948481
TCGA-DE-A4MC-01,0.028294605
TCGA-DE-A4MD-06,0.036950161
TCGA-DE-A4MD-01,0.085409626
TCGA-DE-A69J-01,0.029656835
TCGA-DE-A69K-01,0.027845641
TCGA-DE-A7U5-01,0.016431418
TCGA-DJ-A13L-01,0.020422922
TCGA-DJ-A13M-01,0.032249178
TCGA-DJ-A13O-01,0.009690097
TCGA-DJ-A13P-01,0.028911086
TCGA-DJ-A13R-01,0.027716853
