Sample ID,MYTH score
TCGA-3G-AB0O-01,0.021442477
TCGA-3G-AB0Q-01,0.066171316
TCGA-3G-AB0T-01,0.01033226
TCGA-3G-AB14-01,0.015059554
TCGA-3G-AB19-01,0.049863292
TCGA-3Q-A9WF-01,0.016200564
TCGA-3S-A8YW-01,0.091577769
TCGA-3S-AAYX-01,0.025882578
TCGA-3T-AA9L-01,0.023174876
TCGA-4V-A9QI-01,0.017396925
TCGA-4V-A9QJ-01,0.013660797
TCGA-4V-A9QL-01,0.00856492
TCGA-4V-A9QM-01,0.013096909
TCGA-4V-A9QN-01,0.087348082
TCGA-4V-A9QQ-01,0.015471906
TCGA-4V-A9QR-01,0.015456208
TCGA-4V-A9QS-01,0.01035259
TCGA-4V-A9QT-01,0.024736295
TCGA-4V-A9QU-01,0.009080271
TCGA-4V-A9QW-01,0.011699912
TCGA-4V-A9QX-01,0.010563594
TCGA-4X-A9F9-01,0.021697577
TCGA-4X-A9FA-01,0.052557907
TCGA-4X-A9FB-01,0.018964223
TCGA-4X-A9FC-01,0.011883811
TCGA-4X-A9FD-01,0.015687163
TCGA-5G-A9ZZ-01,0.025752539
TCGA-5K-AAAP-01,0.012203074
TCGA-5U-AB0D-01,0.087280135
TCGA-5U-AB0E-01,0.014867022
TCGA-5U-AB0F-01,0.010956841
TCGA-5V-A9RR-01,0.019066611
TCGA-X7-A8D6-01,0.018342016
TCGA-X7-A8D7-01,0.022807864
TCGA-X7-A8D8-01,0.021756382
TCGA-X7-A8D9-01,0.008626423
TCGA-X7-A8DB-01,0.023174129
TCGA-X7-A8DC-01,0.012440727
TCGA-X7-A8DD-01,0.015988388
TCGA-X7-A8DE-01,0.008662868
TCGA-X7-A8DF-01,0.010327454
TCGA-X7-A8DG-01,0.018363826
TCGA-X7-A8DI-01,0.013357212
TCGA-X7-A8DJ-01,0.008747971
TCGA-X7-A8M0-01,0.016873816
TCGA-X7-A8M1-01,0.009843033
TCGA-X7-A8M3-01,0.106204124
TCGA-X7-A8M4-01,0.011902238
TCGA-X7-A8M5-01,0.029622588
TCGA-X7-A8M6-01,0.017470975
TCGA-X7-A8M7-01,0.019876584
TCGA-X7-A8M8-01,0.017229417
TCGA-XH-A853-01,0.01148161
TCGA-XM-A8R8-01,0.032767223
TCGA-XM-A8R9-01,0.009772785
TCGA-XM-A8RB-01,0.024182531
TCGA-XM-A8RC-01,0.015319126
TCGA-XM-A8RD-01,0.012294098
TCGA-XM-A8RE-01,0.018955474
TCGA-XM-A8RF-01,0.053539307
TCGA-XM-A8RG-01,0.097670349
TCGA-XM-A8RH-01,0.01476997
TCGA-XM-A8RI-01,0.013229667
TCGA-XM-A8RL-01,0.024887734
TCGA-XM-AAZ1-01,0.010924058
TCGA-XM-AAZ2-01,0.057832054
TCGA-XM-AAZ3-01,0.094479328
TCGA-XU-A92O-01,0.037437674
TCGA-XU-A92Q-01,0.06991746
TCGA-XU-A92R-01,0.010204022
TCGA-XU-A92T-01,0.090371557
TCGA-XU-A92U-01,0.010673467
TCGA-XU-A92V-01,0.031429414
TCGA-XU-A92W-01,0.016589217
TCGA-XU-A92X-01,0.011985226
TCGA-XU-A92Y-01,0.010048527
TCGA-XU-A92Z-01,0.061148744
TCGA-XU-A930-01,0.032667426
TCGA-XU-A931-01,0.045847252
TCGA-XU-A932-01,0.012580134
TCGA-XU-A933-01,0.08166055
TCGA-XU-A936-01,0.033627407
TCGA-XU-AAXV-01,0.010110178
TCGA-XU-AAXW-01,0.016242045
TCGA-XU-AAXX-01,0.015589064
TCGA-XU-AAXY-01,0.012249557
TCGA-XU-AAXZ-01,0.011076102
TCGA-XU-AAY0-01,0.008443445
TCGA-XU-AAY1-01,0.011859526
TCGA-YT-A95D-01,0.036385236
TCGA-YT-A95E-01,0.009282123
TCGA-YT-A95F-01,0.01033836
TCGA-YT-A95G-01,0.010995735
TCGA-YT-A95H-01,0.010988104
TCGA-ZB-A961-01,0.027957712
TCGA-ZB-A962-01,0.090509594
TCGA-ZB-A963-01,0.006920275
TCGA-ZB-A964-01,0.096472871
TCGA-ZB-A965-01,0.089635851
TCGA-ZB-A966-01,0.055762052
TCGA-ZB-A969-01,0.074741144
TCGA-ZB-A96A-01,0.008379581
TCGA-ZB-A96B-01,0.01306739
TCGA-ZB-A96C-01,0.057733195
TCGA-ZB-A96D-01,0.008185319
TCGA-ZB-A96E-01,0.009340405
TCGA-ZB-A96F-01,0.015811905
TCGA-ZB-A96G-01,0.012785477
TCGA-ZB-A96H-01,0.090055872
TCGA-ZB-A96I-01,0.038139908
TCGA-ZB-A96K-01,0.0114355
TCGA-ZB-A96L-01,0.046921192
TCGA-ZB-A96M-01,0.008184639
TCGA-ZB-A96O-01,0.020807452
TCGA-ZB-A96P-01,0.023832454
TCGA-ZB-A96Q-01,0.005489463
TCGA-ZB-A96R-01,0.018308582
TCGA-ZB-A96V-01,0.040135172
TCGA-ZC-AAA7-01,0.049544579
TCGA-ZC-AAAA-01,0.010776296
TCGA-ZC-AAAF-01,0.010122892
TCGA-ZC-AAAH-01,0.01868175
TCGA-ZL-A9V6-01,0.045371132
TCGA-ZT-A8OM-01,0.010273032
