Sample ID,MYTH score
TCGA-2E-A9G8-01,0.054160466
TCGA-4E-A92E-01,0.027157868
TCGA-5B-A90C-01,0.041050514
TCGA-5S-A9Q8-01,0.065076988
TCGA-A5-A0G1-01,0.03917417
TCGA-A5-A0GG-01,0.017547374
TCGA-A5-A0GQ-01,0.022864621
TCGA-A5-A0GR-01,0.029513594
TCGA-A5-A0VO-01,0.028504063
TCGA-A5-A1OF-01,0.03312295
TCGA-A5-A1OG-01,0.03092921
TCGA-A5-A1OH-01,0.043054508
TCGA-A5-A1OJ-01,0.014580729
TCGA-A5-A1OK-01,0.023231176
TCGA-A5-A2K2-01,0.049107372
TCGA-A5-A2K3-01,0.044980505
TCGA-A5-A2K4-01,0.025895664
TCGA-A5-A2K5-01,0.046944397
TCGA-A5-A2K7-01,0.053363205
TCGA-A5-A3LO-01,0.021272677
TCGA-A5-A3LP-01,0.052270484
TCGA-A5-A7WJ-01,0.073122647
TCGA-A5-A7WK-01,0.050661386
TCGA-A5-AB3J-01,0.019493846
TCGA-AJ-A23M-01,0.038852093
TCGA-AJ-A23N-01,0.026038284
TCGA-AJ-A23O-01,0.035043488
TCGA-AJ-A2QK-01,0.015715389
TCGA-AJ-A2QL-01,0.043787336
TCGA-AJ-A2QM-01,0.050690536
TCGA-AJ-A2QN-01,0.029966701
TCGA-AJ-A2QO-01,0.070239892
TCGA-AJ-A3BD-01,0.025825148
TCGA-AJ-A3BF-01,0.038306576
TCGA-AJ-A3BG-01,0.08861051
TCGA-AJ-A3BH-01,0.039553007
TCGA-AJ-A3BI-01,0.035961358
TCGA-AJ-A3BK-01,0.030030745
TCGA-AJ-A3EJ-01,0.030540711
TCGA-AJ-A3EK-01,0.040857994
TCGA-AJ-A3EL-01,0.032225033
TCGA-AJ-A3EM-01,0.048905615
TCGA-AJ-A3I9-01,0.0478652
TCGA-AJ-A3IA-01,0.032612508
TCGA-AJ-A3NC-01,0.027186206
TCGA-AJ-A3NE-01,0.026696326
TCGA-AJ-A3NF-01,0.025729185
TCGA-AJ-A3NG-01,0.050956019
TCGA-AJ-A3NH-01,0.036654883
TCGA-AJ-A3OJ-01,0.051678583
TCGA-AJ-A3OK-01,0.030639617
TCGA-AJ-A3OL-01,0.048002165
TCGA-AJ-A3QS-01,0.022901721
TCGA-AJ-A3TW-01,0.043980685
TCGA-AJ-A5DV-01,0.026152984
TCGA-AJ-A5DW-01,0.036794406
TCGA-AJ-A6NU-01,0.020423023
TCGA-AJ-A8CT-01,0.017330445
TCGA-AJ-A8CV-01,0.018566828
TCGA-AJ-A8CW-01,0.073127208
TCGA-AP-A059-01,0.02812348
TCGA-AP-A05O-01,0.019433072
TCGA-AP-A0LF-01,0.038339966
TCGA-AP-A0LM-01,0.023686809
TCGA-AP-A0LS-01,0.054204646
TCGA-AP-A1DH-01,0.024541561
TCGA-AP-A1DK-01,0.033466422
TCGA-AP-A1DM-01,0.038650309
TCGA-AP-A1DO-01,0.071814609
TCGA-AP-A1DP-01,0.063167759
TCGA-AP-A1DQ-01,0.028162641
TCGA-AP-A1DR-01,0.045757704
TCGA-AP-A1DV-01,0.064337615
TCGA-AP-A1E0-01,0.046503579
TCGA-AP-A1E1-01,0.058777726
TCGA-AP-A1E3-01,0.02544922
TCGA-AP-A1E4-01,0.071075842
TCGA-AP-A3K1-01,0.047633948
