Sample ID,MYTH score
TCGA-N5-A4R8-01,0.03776133
TCGA-N5-A4RA-01,0.027811328
TCGA-N5-A4RD-01,0.034313865
TCGA-N5-A4RF-01,0.045759433
TCGA-N5-A4RJ-01,0.022673493
TCGA-N5-A4RM-01,0.028372604
TCGA-N5-A4RN-01,0.047218046
TCGA-N5-A4RO-01,0.038615495
TCGA-N5-A4RS-01,0.039329394
TCGA-N5-A4RT-01,0.036370514
TCGA-N5-A4RU-01,0.028758168
TCGA-N5-A4RV-01,0.043766128
TCGA-N5-A59E-01,0.025167297
TCGA-N5-A59F-01,0.019170309
TCGA-N6-A4V9-01,0.038651132
TCGA-N6-A4VC-01,0.037914131
TCGA-N6-A4VD-01,0.043742147
TCGA-N6-A4VE-01,0.037211638
TCGA-N6-A4VF-01,0.02296908
TCGA-N6-A4VG-01,0.029616617
TCGA-N7-A4Y0-01,0.072474457
TCGA-N7-A4Y5-01,0.0463812
TCGA-N7-A4Y8-01,0.045529121
TCGA-N7-A59B-01,0.060004244
TCGA-N8-A4PI-01,0.040219572
TCGA-N8-A4PL-01,0.028546999
TCGA-N8-A4PM-01,0.029642844
TCGA-N8-A4PN-01,0.033633732
TCGA-N8-A4PO-01,0.03382876
TCGA-N8-A4PP-01,0.024625956
TCGA-N8-A4PQ-01,0.019547948
TCGA-N8-A56S-01,0.022734404
TCGA-N9-A4PZ-01,0.029060554
TCGA-N9-A4Q1-01,0.037234954
TCGA-N9-A4Q3-01,0.029755532
TCGA-N9-A4Q4-01,0.039732786
TCGA-N9-A4Q7-01,0.035242758
TCGA-N9-A4Q8-01,0.039816315
TCGA-NA-A4QV-01,0.030707183
TCGA-NA-A4QW-01,0.040291192
TCGA-NA-A4QX-01,0.024923694
TCGA-NA-A4QY-01,0.022436176
TCGA-NA-A4R0-01,0.017773247
TCGA-NA-A4R1-01,0.069320699
TCGA-NA-A5I1-01,0.032106172
TCGA-ND-A4W6-01,0.015754294
TCGA-ND-A4WA-01,0.034241991
TCGA-ND-A4WC-01,0.054939529
TCGA-ND-A4WF-01,0.040926237
TCGA-NF-A4WU-01,0.029753818
TCGA-NF-A4WX-01,0.026769055
TCGA-NF-A4X2-01,0.046496697
TCGA-NF-A5CP-01,0.027858728
TCGA-NG-A4VU-01,0.048210596
TCGA-NG-A4VW-01,0.035006186
TCGA-QM-A5NM-01,0.046365393
TCGA-QN-A5NN-01,0.030925789
