Sample ID,MYTH score
TCGA-RZ-AB0B-01,0.0278942
TCGA-V3-A9ZX-01,0.025570314
TCGA-V3-A9ZY-01,0.026951882
TCGA-V4-A9E5-01,0.070947088
TCGA-V4-A9E7-01,0.038709037
TCGA-V4-A9E8-01,0.027933772
TCGA-V4-A9E9-01,0.03683186
TCGA-V4-A9EA-01,0.037482973
TCGA-V4-A9EC-01,0.030430275
TCGA-V4-A9ED-01,0.023080196
TCGA-V4-A9EE-01,0.026913728
TCGA-V4-A9EF-01,0.025266745
TCGA-V4-A9EH-01,0.033148633
TCGA-V4-A9EI-01,0.03358608
TCGA-V4-A9EJ-01,0.033967166
TCGA-V4-A9EK-01,0.037565107
TCGA-V4-A9EL-01,0.034824157
TCGA-V4-A9EM-01,0.063255702
TCGA-V4-A9EO-01,0.031713839
TCGA-V4-A9EQ-01,0.029320707
TCGA-V4-A9ES-01,0.046676189
TCGA-V4-A9ET-01,0.035512264
TCGA-V4-A9EU-01,0.034677404
TCGA-V4-A9EV-01,0.022821765
TCGA-V4-A9EW-01,0.027439556
TCGA-V4-A9EX-01,0.03530496
TCGA-V4-A9EY-01,0.026957496
TCGA-V4-A9EZ-01,0.034477187
TCGA-V4-A9F0-01,0.025814828
TCGA-V4-A9F1-01,0.028204067
TCGA-V4-A9F2-01,0.041050772
TCGA-V4-A9F3-01,0.020758207
TCGA-V4-A9F4-01,0.02929751
TCGA-V4-A9F5-01,0.033350859
TCGA-V4-A9F7-01,0.040582843
TCGA-V4-A9F8-01,0.024755905
TCGA-VD-A8K7-01,0.034964462
TCGA-VD-A8K8-01,0.0253462
TCGA-VD-A8K9-01,0.032785804
TCGA-VD-A8KA-01,0.025640312
TCGA-VD-A8KB-01,0.029956966
TCGA-VD-A8KD-01,0.026624197
TCGA-VD-A8KE-01,0.031083292
TCGA-VD-A8KF-01,0.028143745
TCGA-VD-A8KG-01,0.031817338
TCGA-VD-A8KH-01,0.042662167
TCGA-VD-A8KI-01,0.028915066
TCGA-VD-A8KJ-01,0.030251267
TCGA-VD-A8KK-01,0.025153589
TCGA-VD-A8KL-01,0.027324801
TCGA-VD-A8KM-01,0.035937911
TCGA-VD-A8KN-01,0.020858635
TCGA-VD-A8KO-01,0.035214703
TCGA-VD-AA8M-01,0.031595494
TCGA-VD-AA8N-01,0.020128467
TCGA-VD-AA8O-01,0.042017572
TCGA-VD-AA8P-01,0.037614142
TCGA-VD-AA8Q-01,0.02489047
TCGA-VD-AA8R-01,0.03234285
TCGA-VD-AA8S-01,0.030546366
TCGA-VD-AA8T-01,0.03348133
TCGA-WC-A87T-01,0.030190657
TCGA-WC-A87U-01,0.028831034
TCGA-WC-A87W-01,0.037990981
TCGA-WC-A87Y-01,0.023222137
TCGA-WC-A880-01,0.042189666
TCGA-WC-A881-01,0.034481009
TCGA-WC-A882-01,0.031362551
TCGA-WC-A883-01,0.03926619
TCGA-WC-A884-01,0.019469904
TCGA-WC-A885-01,0.029576168
TCGA-WC-A888-01,0.022440913
TCGA-WC-A88A-01,0.047125505
TCGA-WC-AA9A-01,0.035009943
TCGA-WC-AA9E-01,0.042356237
TCGA-YZ-A980-01,0.033425353
TCGA-YZ-A982-01,0.035494449
TCGA-YZ-A983-01,0.03712853
TCGA-YZ-A984-01,0.032202403
TCGA-YZ-A985-01,0.028700457
